ISO,Year,Item,FPi
AFG,2015,"Rice, paddy",410.0
AFG,2015,Roots and tubers nes,0.0
AFG,2015,Rye,0.0
AFG,2015,Safflower seed,0.0
AFG,2015,Sesame seed,32.0
AFG,2015,Sorghum,0.0
AFG,2015,Soybeans,0.0
AFG,2015,Spices nes,0.005
AFG,2015,Spinach,0.0
AFG,2015,Strawberries,0.0
AFG,2015,Sugar beet,4.495
AFG,2015,Sugar cane,46.454
AFG,2015,Sunflower seed,0.342
AFG,2015,Sweet corn frozen,0.0
AFG,2015,Sweet corn prep or preserved,0.0
AFG,2015,Sweet potatoes,0.0
AFG,2015,"Tangerines, mandarins, clementines, satsumas",0.0
AFG,2015,Taro (cocoyam),0.0
AFG,2015,Tea,0.0
AFG,2015,Tomatoes,6.489
AFG,2015,"Vegetables, fresh nes",797.775
AFG,2015,"Vegetables, leguminous nes",0.0
AFG,2015,"Walnuts, with shell",3.65
AFG,2015,Watermelons,328.186
AFG,2015,Wheat,4673.04
AFG,2015,Yams,0.0
AFG,2016,"Almonds, with shell",32.843
AFG,2016,"Anise, badian, fennel, coriander",18.04
AFG,2016,Apples,140.903
AFG,2016,Apricots,17.894000000000002
AFG,2016,Areca nuts,0.0
AFG,2016,Artichokes,0.0
AFG,2016,Asparagus,0.0
AFG,2016,Avocados,0.0
AFG,2016,Bananas,0.0
AFG,2016,Barley,301.856
AFG,2016,"Beans, dry",0.0
AFG,2016,"Beans, green",0.016
AFG,2016,Berries nes,24.031
AFG,2016,"Brazil nuts, with shell",0.0
AFG,2016,"Broad beans, horse beans, dry",0.0
AFG,2016,Buckwheat,0.0
AFG,2016,Cabbages and other brassicas,0.0
AFG,2016,Canary seed,0.0
AFG,2016,Carrots and turnips,4.0840000000000005
AFG,2016,"Cashew nuts, with shell",0.0
AFG,2016,Castor oil seed,0.0
AFG,2016,Cauliflowers and broccoli,0.0
AFG,2016,Cereals nes,0.0
AFG,2016,Cherries,0.096
AFG,2016,"Cherries, sour",0.111
AFG,2016,Chestnut,0.0
AFG,2016,Chick peas,0.0
AFG,2016,Chicory roots,0.0
AFG,2016,"Chillies and peppers, dry",0.0
AFG,2016,"Chillies and peppers, green",0.0
AFG,2016,Cinnamon (cannella),0.0
AFG,2016,Cloves,0.0
AFG,2016,"Cocoa, beans",0.0
AFG,2016,Coconuts,0.0
AFG,2016,"Coffee, green",0.0
AFG,2016,Cucumbers and gherkins,5.851
AFG,2016,Dates,0.0
AFG,2016,Eggplants (aubergines),0.0
AFG,2016,"Eggs, hen, in shell",19.895
AFG,2016,"Eggs, other bird, in shell",0.0
AFG,2016,"Fat, camels",0.247
AFG,2016,"Fat, cattle",3.305
AFG,2016,"Fat, goats",1.69
AFG,2016,"Fat, sheep",6.007000000000001
AFG,2016,Figs,3.1430000000000002
AFG,2016,"Fruit, citrus nes",18.185
AFG,2016,"Fruit, fresh nes",70.083
AFG,2016,"Fruit, stone nes",50.21
