ISO,Year,Item,FLOi
ESP,2015,"Rice, paddy",34.04
ESP,2015,Roots and tubers nes,0.47200000000000003
ESP,2015,Rye,2.874
ESP,2015,Safflower seed,0.226
ESP,2015,Sesame seed,0.0
ESP,2015,"Snails, not sea",0.0
ESP,2015,Sorghum,2.355
ESP,2015,Soybeans,21.455000000000002
ESP,2015,Spices nes,0.0
ESP,2015,Spinach,6.777
ESP,2015,Strawberries,18.933
ESP,2015,Sugar beet,193.904
ESP,2015,Sugar cane,0.017
ESP,2015,Sunflower seed,52.051
ESP,2015,Sweet corn frozen,0.0
ESP,2015,Sweet corn prep or preserved,0.0
ESP,2015,Sweet potatoes,2.112
ESP,2015,"Tangerines, mandarins, clementines, satsumas",145.207
ESP,2015,Taro (cocoyam),0.0
ESP,2015,Tea,0.054
ESP,2015,Tomatoes,230.256
ESP,2015,Triticale,21.051000000000002
ESP,2015,Vanilla,0.0
ESP,2015,"Vegetables, fresh nes",58.27
ESP,2015,"Vegetables, leguminous nes",5.765
ESP,2015,Vetches,4.823
ESP,2015,"Walnuts, with shell",0.77
ESP,2015,Watermelons,108.552
ESP,2015,Wheat,30.282
ESP,2015,Yams,0.0
ESP,2015,Yautia (cocoyam),0.0
ESP,2016,"Almonds, with shell",10.712
ESP,2016,"Anise, badian, fennel, coriander",0.0
ESP,2016,Apples,93.354
ESP,2016,Apricots,14.044
ESP,2016,Areca nuts,0.0
ESP,2016,Artichokes,22.569
ESP,2016,Asparagus,7.122
ESP,2016,Avocados,21.518
ESP,2016,Bambara beans,0.0
ESP,2016,Bananas,88.72200000000001
ESP,2016,Barley,30.736
ESP,2016,"Beans, dry",0.838
ESP,2016,"Beans, green",31.926000000000002
ESP,2016,Berries nes,0.455
ESP,2016,Blueberries,1.189
ESP,2016,"Brazil nuts, with shell",0.0
ESP,2016,"Broad beans, horse beans, dry",2.529
ESP,2016,Buckwheat,0.0
ESP,2016,Cabbages and other brassicas,24.039
ESP,2016,Canary seed,0.008
ESP,2016,Carobs,0.887
ESP,2016,Carrots and turnips,41.645
ESP,2016,"Cashew nuts, with shell",0.0
ESP,2016,Castor oil seed,0.0
ESP,2016,Cauliflowers and broccoli,64.908
