ISO,Year,TLA
ATG,1982,44.0
ATG,1983,44.0
ATG,1984,44.0
ATG,1985,44.0
ATG,1986,44.0
ATG,1987,44.0
ATG,1988,44.0
ATG,1989,44.0
ATG,1990,44.0
ATG,1991,44.0
ATG,1992,44.0
ATG,1993,44.0
ATG,1994,44.0
ATG,1995,44.0
ATG,1996,44.0
ATG,1997,44.0
ATG,1998,44.0
ATG,1999,44.0
ATG,2000,44.0
ATG,2001,44.0
ATG,2002,44.0
ATG,2003,44.0
ATG,2004,44.0
ATG,2005,44.0
ATG,2006,44.0
ATG,2007,44.0
ATG,2008,44.0
ATG,2009,44.0
ATG,2010,44.0
ATG,2011,44.0
ATG,2012,44.0
ATG,2013,44.0
ATG,2014,44.0
ATG,2015,44.0
ATG,2016,44.0
ATG,2017,44.0
ATG,2018,44.0
AUS,1961,768230.0
AUS,1962,768230.0
AUS,1963,768230.0
AUS,1964,768230.0
AUS,1965,768230.0
AUS,1966,768230.0
AUS,1967,768230.0
AUS,1968,768230.0
AUS,1969,768230.0
AUS,1970,768230.0
AUS,1971,768230.0
AUS,1972,768230.0
AUS,1973,768230.0
AUS,1974,768230.0
AUS,1975,768230.0
AUS,1976,768230.0
AUS,1977,768230.0
AUS,1978,768230.0
AUS,1979,768230.0
AUS,1980,768230.0
AUS,1981,768230.0
AUS,1982,768230.0
AUS,1983,768230.0
AUS,1984,768230.0
AUS,1985,768230.0
AUS,1986,768230.0
AUS,1987,768230.0
AUS,1988,768230.0
AUS,1989,768230.0
AUS,1990,768230.0
AUS,1991,768230.0
AUS,1992,768230.0
AUS,1993,768230.0
AUS,1994,768230.0
AUS,1995,768230.0
AUS,1996,768230.0
AUS,1997,768230.0
AUS,1998,768230.0
AUS,1999,768230.0
AUS,2000,768230.0
AUS,2001,768230.0
AUS,2002,768230.0
AUS,2003,768230.0
AUS,2004,768230.0
AUS,2005,768230.0
AUS,2006,768230.0
AUS,2007,768230.0
AUS,2008,768230.0
AUS,2009,768230.0
AUS,2010,768230.0
AUS,2011,768230.0
AUS,2012,768230.0
AUS,2013,768230.0
AUS,2014,768230.0
AUS,2015,768230.0
AUS,2016,769202.0
AUS,2017,769202.0
AUS,2018,769202.0
AUT,1961,8258.0
AUT,1962,8258.0
AUT,1963,8258.0
AUT,1964,8258.0
AUT,1965,8258.0
AUT,1966,8258.0
AUT,1967,8258.0
AUT,1968,8258.0
AUT,1969,8258.0
AUT,1970,8258.0
AUT,1971,8258.0
AUT,1972,8258.0
AUT,1973,8258.0
AUT,1974,8258.0
AUT,1975,8258.0
AUT,1976,8258.0
AUT,1977,8258.0
AUT,1978,8258.0
AUT,1979,8258.0
AUT,1980,8258.0
AUT,1981,8258.0
AUT,1982,8258.0
AUT,1983,8258.0
AUT,1984,8258.0
AUT,1985,8258.0
AUT,1986,8258.0
AUT,1987,8258.0
AUT,1988,8258.0
AUT,1989,8258.0
AUT,1990,8258.0
AUT,1991,8258.0
AUT,1992,8258.0
AUT,1993,8258.0
AUT,1994,8258.0
AUT,1995,8258.0
AUT,1996,8258.0
AUT,1997,8258.0
AUT,1998,8258.0
AUT,1999,8258.0
AUT,2000,8258.0
AUT,2001,8258.0
AUT,2002,8258.0
AUT,2003,8258.0
AUT,2004,8258.0
AUT,2005,8258.0
AUT,2006,8258.0
AUT,2007,8257.8
AUT,2008,8257.8
AUT,2009,8257.8
AUT,2010,8257.1
AUT,2011,8256.1
AUT,2012,8255.4
AUT,2013,8253.1
AUT,2014,8252.3
AUT,2015,8252.0
AUT,2016,8252.0
AUT,2017,8252.0
AUT,2018,8252.0
AZE,1992,8321.7
AZE,1993,8321.7
AZE,1994,8321.7
AZE,1995,8321.7
AZE,1996,8321.7
AZE,1997,8321.7
AZE,1998,8309.2
AZE,1999,8270.5
AZE,2000,8260.5
AZE,2001,8260.4
AZE,2002,8261.8
AZE,2003,8265.2
AZE,2004,8267.2
AZE,2005,8266.0
AZE,2006,8263.7
AZE,2007,8262.9
AZE,2008,8262.7
AZE,2009,8262.2
AZE,2010,8265.6
AZE,2011,8265.8
AZE,2012,8265.8
AZE,2013,8265.9
AZE,2014,8266.3
AZE,2015,8266.3
AZE,2016,8267.0
AZE,2017,8266.2
AZE,2018,8265.4
BDI,1961,2568.0
BDI,1962,2568.0
BDI,1963,2568.0
BDI,1964,2568.0
BDI,1965,2568.0
BDI,1966,2568.0
BDI,1967,2568.0
BDI,1968,2568.0
BDI,1969,2568.0
BDI,1970,2568.0
BDI,1971,2568.0
BDI,1972,2568.0
BDI,1973,2568.0
BDI,1974,2568.0
BDI,1975,2568.0
BDI,1976,2568.0
BDI,1977,2568.0
BDI,1978,2568.0
BDI,1979,2568.0
BDI,1980,2568.0
BDI,1981,2568.0
BDI,1982,2568.0
BDI,1983,2568.0
BDI,1984,2568.0
BDI,1985,2568.0
BDI,1986,2568.0
BDI,1987,2568.0
BDI,1988,2568.0
BDI,1989,2568.0
BDI,1990,2568.0
BDI,1991,2568.0
BDI,1992,2568.0
BDI,1993,2568.0
BDI,1994,2568.0
BDI,1995,2568.0
BDI,1996,2568.0
BDI,1997,2568.0
BDI,1998,2568.0
BDI,1999,2568.0
BDI,2000,2568.0
BDI,2001,2568.0
BDI,2002,2568.0
BDI,2003,2568.0
BDI,2004,2568.0
BDI,2005,2568.0
BDI,2006,2568.0
BDI,2007,2568.0
BDI,2008,2568.0
BDI,2009,2568.0
BDI,2010,2568.0
BDI,2011,2568.0
BDI,2012,2568.0
BDI,2013,2568.0
BDI,2014,2568.0
BDI,2015,2568.0
BDI,2016,2568.0
BDI,2017,2568.0
BDI,2018,2568.0
BEL,2000,3028.0
BEL,2001,3028.0
BEL,2002,3028.0
BEL,2003,3028.0
BEL,2004,3028.0
BEL,2005,3028.0
BEL,2006,3028.0
BEL,2007,3028.0
