ISO,Year,Pop
IRN,2017,80674.0
IRN,2018,81800.0
IRQ,2014,29516.0
IRQ,2015,30511.0
IRQ,2016,31402.0
IRQ,2017,32210.0
IRQ,2018,32965.0
ISL,2014,329.0
ISL,2015,330.0
ISL,2016,332.0
ISL,2017,334.0
ISL,2018,337.0
ISR,2014,7854.0
ISR,2015,7978.0
ISR,2016,8109.0
ISR,2017,8244.0
ISR,2018,8382.0
ITA,2014,60410.0
ITA,2015,60578.0
ITA,2016,60663.0
ITA,2017,60674.0
ITA,2018,60627.0
JAM,2014,2875.0
JAM,2015,2891.0
JAM,2016,2906.0
JAM,2017,2921.0
JAM,2018,2935.0
JOR,2014,8919.0
JOR,2015,9267.0
JOR,2016,9554.0
JOR,2017,9786.0
JOR,2018,9965.0
JPN,2014,128169.0
JPN,2015,127985.0
JPN,2016,127763.0
JPN,2017,127503.0
JPN,2018,127202.0
KAZ,2014,17303.0
KAZ,2015,17572.0
KAZ,2016,17831.0
KAZ,2017,18080.0
KAZ,2018,18320.0
KEN,2014,46700.0
KEN,2015,47878.0
KEN,2016,49052.0
KEN,2017,50221.0
KEN,2018,51393.0
KGZ,2014,5845.0
KGZ,2015,5959.0
KGZ,2016,6074.0
KGZ,2017,6190.0
KGZ,2018,6304.0
KHM,2014,15275.0
KHM,2015,15521.0
KHM,2016,15766.0
KHM,2017,16009.0
KHM,2018,16250.0
KIR,2014,109.0
KIR,2015,111.0
KIR,2016,113.0
KIR,2017,114.0
KIR,2018,116.0
KNA,2014,51.0
KNA,2015,51.0
KNA,2016,52.0
KNA,2017,52.0
KNA,2018,52.0
KOR,2014,50608.0
KOR,2015,50823.0
KOR,2016,50983.0
KOR,2017,51096.0
KOR,2018,51172.0
KWT,2014,3691.0
KWT,2015,3836.0
KWT,2016,3957.0
KWT,2017,4056.0
KWT,2018,4137.0
LAO,2014,6640.0
LAO,2015,6741.0
LAO,2016,6846.0
LAO,2017,6953.0
LAO,2018,7062.0
LBN,2014,6261.0
LBN,2015,6533.0
LBN,2016,6714.0
LBN,2017,6819.0
LBN,2018,6859.0
LBR,2014,4360.0
LBR,2015,4472.0
LBR,2016,4587.0
LBR,2017,4702.0
LBR,2018,4819.0
LCA,2014,178.0
LCA,2015,179.0
LCA,2016,180.0
LCA,2017,181.0
LCA,2018,182.0
LKA,2014,20789.0
LKA,2015,20908.0
LKA,2016,21021.0
