ISO,Year,FL
ATG,1962,0.0
ATG,1963,0.0
ATG,1964,0.0
ATG,1965,0.0
ATG,1966,0.0
ATG,1967,0.0
ATG,1968,0.0
ATG,1969,0.0
ATG,1970,0.0
ATG,1971,0.0
ATG,1972,0.0
ATG,1973,0.0
ATG,1974,0.0
ATG,1975,0.0
ATG,1976,0.0
ATG,1977,0.0
ATG,1978,0.0
ATG,1979,0.0
ATG,1980,0.0
ATG,1981,0.0
ATG,1982,0.0
ATG,1983,0.0
ATG,1984,0.0
ATG,1985,0.0
ATG,1986,0.0
ATG,1987,0.0
ATG,1988,0.0
ATG,1989,0.0
ATG,1990,10.11
ATG,1991,10.044
ATG,1992,9.978
ATG,1993,9.912
ATG,1994,9.846
ATG,1995,9.78
ATG,1996,9.714
ATG,1997,9.648
ATG,1998,9.582
ATG,1999,9.516
ATG,2000,9.45
ATG,2001,9.383
ATG,2002,9.316
ATG,2003,9.249
ATG,2004,9.182
ATG,2005,9.115
ATG,2006,9.048
ATG,2007,8.981
ATG,2008,8.914
ATG,2009,8.847
ATG,2010,8.78
ATG,2011,8.714
ATG,2012,8.648
ATG,2013,8.582
ATG,2014,8.516
ATG,2015,8.45
ATG,2016,8.38
ATG,2017,8.32
ATG,2018,8.25
AUS,1961,0.0
AUS,1962,0.0
AUS,1963,0.0
AUS,1964,0.0
AUS,1965,0.0
AUS,1966,0.0
AUS,1967,0.0
AUS,1968,0.0
AUS,1969,0.0
AUS,1970,0.0
AUS,1971,0.0
AUS,1972,0.0
AUS,1973,0.0
AUS,1974,0.0
AUS,1975,0.0
AUS,1976,0.0
AUS,1977,0.0
AUS,1978,0.0
AUS,1979,0.0
AUS,1980,0.0
AUS,1981,0.0
AUS,1982,0.0
AUS,1983,0.0
AUS,1984,0.0
AUS,1985,0.0
AUS,1986,0.0
AUS,1987,0.0
AUS,1988,0.0
AUS,1989,0.0
AUS,1990,133882.2
AUS,1991,133675.39
AUS,1992,133468.58
AUS,1993,133261.77
AUS,1994,133054.96
AUS,1995,132848.15
AUS,1996,132641.34
AUS,1997,132434.53
AUS,1998,132227.72
AUS,1999,132020.91
AUS,2000,131814.1
AUS,2001,131587.3
AUS,2002,131360.5
AUS,2003,131133.7
AUS,2004,130906.9
AUS,2005,130680.1
AUS,2006,130453.3
AUS,2007,130226.5
AUS,2008,129999.7
AUS,2009,129772.9
AUS,2010,129546.1
AUS,2011,130255.78
AUS,2012,130965.46
AUS,2013,131675.14
AUS,2014,132384.82
AUS,2015,133094.5
AUS,2016,134037.2
AUS,2017,134017.4
AUS,2018,134005.1
AUT,1961,0.0
AUT,1962,0.0
AUT,1963,0.0
AUT,1964,0.0
AUT,1965,0.0
AUT,1966,0.0
AUT,1967,0.0
AUT,1968,0.0
AUT,1969,0.0
AUT,1970,0.0
AUT,1971,0.0
AUT,1972,0.0
AUT,1973,0.0
AUT,1974,0.0
AUT,1975,0.0
AUT,1976,0.0
AUT,1977,0.0
AUT,1978,0.0
AUT,1979,0.0
AUT,1980,0.0
AUT,1981,0.0
AUT,1982,0.0
AUT,1983,0.0
AUT,1984,0.0
AUT,1985,0.0
AUT,1986,0.0
AUT,1987,0.0
AUT,1988,0.0
AUT,1989,0.0
AUT,1990,3775.67
AUT,1991,3781.917
AUT,1992,3788.164
AUT,1993,3794.411
AUT,1994,3800.658
AUT,1995,3806.905
AUT,1996,3813.152
AUT,1997,3819.399
AUT,1998,3825.646
AUT,1999,3831.893
AUT,2000,3838.14
AUT,2001,3840.646
AUT,2002,3843.152
AUT,2003,3845.658
AUT,2004,3848.164
AUT,2005,3850.67
AUT,2006,3853.176
AUT,2007,3855.682
AUT,2008,3858.188
AUT,2009,3860.694
AUT,2010,3863.2
AUT,2011,3866.798
AUT,2012,3870.396
AUT,2013,3873.994
AUT,2014,3877.592
AUT,2015,3881.19
AUT,2016,3884.79
AUT,2017,3888.38
AUT,2018,3891.97
AZE,1992,953.236
AZE,1993,957.484
AZE,1994,961.732
AZE,1995,965.98
AZE,1996,970.228
AZE,1997,974.476
AZE,1998,978.724
AZE,1999,982.972
AZE,2000,987.22
AZE,2001,991.7475
AZE,2002,996.2749
AZE,2003,1000.8024
AZE,2004,1005.3298
AZE,2005,1009.8573
AZE,2006,1014.3848
