ISO,Year,Item,FIi
AFG,2015,Sugar cane,0.795
AFG,2015,Sunflower seed,2.698
AFG,2015,Sweet corn frozen,0.089
AFG,2015,Sweet corn prep or preserved,0.056
AFG,2015,Sweet potatoes,0.003
AFG,2015,"Tangerines, mandarins, clementines, satsumas",164.856
AFG,2015,Taro (cocoyam),0.0
AFG,2015,Tea,72.362
AFG,2015,Tomatoes,9.221
AFG,2015,"Vegetables, fresh nes",80.389
AFG,2015,"Vegetables, leguminous nes",0.038
AFG,2015,"Walnuts, with shell",0.0
AFG,2015,Watermelons,0.0
AFG,2015,Wheat,176.53900000000002
AFG,2015,Yams,0.0
AFG,2016,"Almonds, with shell",0.309
AFG,2016,"Anise, badian, fennel, coriander",0.8150000000000001
AFG,2016,Apples,92.334
AFG,2016,Apricots,0.0
AFG,2016,Areca nuts,0.002
AFG,2016,Artichokes,0.0
AFG,2016,Asparagus,0.003
AFG,2016,Avocados,0.001
AFG,2016,Bananas,29.73
AFG,2016,Barley,16.385
AFG,2016,"Beans, dry",0.271
AFG,2016,"Beans, green",0.015
AFG,2016,Berries nes,0.003
AFG,2016,"Brazil nuts, with shell",0.0
AFG,2016,"Broad beans, horse beans, dry",0.0
AFG,2016,Buckwheat,0.0
AFG,2016,Cabbages and other brassicas,8.262
AFG,2016,Canary seed,0.0
AFG,2016,Carrots and turnips,0.055
AFG,2016,"Cashew nuts, with shell",0.0
AFG,2016,Castor oil seed,0.0
AFG,2016,Cauliflowers and broccoli,0.47900000000000004
AFG,2016,Cereals nes,0.0
AFG,2016,Cherries,0.0
AFG,2016,"Cherries, sour",0.0
AFG,2016,Chestnut,0.0
AFG,2016,Chick peas,2.72
AFG,2016,Chicory roots,0.0
AFG,2016,"Chillies and peppers, dry",0.005
AFG,2016,"Chillies and peppers, green",4.44
AFG,2016,Cinnamon (cannella),0.009000000000000001
AFG,2016,Cloves,0.0
AFG,2016,"Cocoa, beans",0.0
AFG,2016,Coconuts,0.126
AFG,2016,"Coffee, green",0.0
AFG,2016,Cucumbers and gherkins,5.275
AFG,2016,Dates,18.963
AFG,2016,Eggplants (aubergines),8.915000000000001
AFG,2016,"Eggs, hen, in shell",40.418
AFG,2016,"Eggs, other bird, in shell",7.71
AFG,2016,"Fat, camels",0.0
AFG,2016,"Fat, cattle",0.194
AFG,2016,"Fat, goats",0.0
AFG,2016,"Fat, sheep",0.0
AFG,2016,Figs,0.0
AFG,2016,"Fruit, citrus nes",31.796
AFG,2016,"Fruit, fresh nes",7.407
AFG,2016,"Fruit, stone nes",0.0
AFG,2016,"Fruit, tropical fresh nes",0.0
AFG,2016,Garlic,0.006
AFG,2016,Ginger,0.007
AFG,2016,Grapefruit (inc. pomelos),0.042
AFG,2016,Grapes,1.856
AFG,2016,"Groundnuts, with shell",0.784
AFG,2016,"Hazelnuts, with shell",0.137
AFG,2016,Hempseed,0.0
AFG,2016,"Honey, natural",0.081
AFG,2016,Kiwi fruit,4.0120000000000005
AFG,2016,"Leeks, other alliaceous vegetables",1.854
AFG,2016,Lemons and limes,0.606
AFG,2016,Lentils,1.554
AFG,2016,Lettuce and chicory,0.109
AFG,2016,Linseed,65.07300000000001
AFG,2016,Maize,7.046
AFG,2016,"Maize, green",0.0
AFG,2016,"Mangoes, mangosteens, guavas",2.065
AFG,2016,Maté,0.025
AFG,2016,Meat nes,0.0
AFG,2016,"Meat, buffalo",0.895
AFG,2016,"Meat, camel",0.0
AFG,2016,"Meat, cattle",4.234
AFG,2016,"Meat, chicken",35.473
