ISO,Year,EFR
ARE,1984,0.0
ARE,1985,0.0
ARE,1986,0.0
ARE,1987,0.0
ARE,1988,0.0
ARE,1989,0.0
ARE,1990,0.0
ARE,1991,0.0
ARE,1992,0.0
ARE,1993,0.0
ARE,1994,0.0
ARE,1995,0.0
ARE,1996,0.0
ARE,1997,0.0
ARE,1998,0.0
ARE,1999,0.0
ARE,2000,0.0
ARE,2001,0.0
ARE,2002,0.0
ARE,2003,0.0
ARE,2004,0.0
ARE,2005,0.0
ARE,2006,0.0
ARE,2007,0.0
ARE,2008,0.0
ARE,2009,0.0
ARE,2010,0.0
ARE,2011,0.0
ARE,2012,0.0
ARE,2013,0.0
ARE,2014,0.0
ARE,2015,0.0
ARE,2016,0.0
ARE,2017,0.0
ARE,2018,0.0
ARE,2019,0.0
ARE,2020,0.0
ARE,2021,0.0
ARE,2022,0.0
ARE,2023,0.0
ARE,2024,0.0
ARE,2025,0.0
ARE,2026,0.0
ARE,2027,0.0
ARE,2028,0.0
ARE,2029,0.0
ARE,2030,0.0
ARE,2031,0.0
ARE,2032,0.0
ARE,2033,0.0
ARE,2034,0.0
ARE,2035,0.0
ARE,2036,0.0
ARE,2037,0.0
ARE,2038,0.0
ARE,2039,0.0
ARE,2040,0.0
ARE,2041,0.0
ARE,2042,0.0
ARE,2043,0.0
ARE,2044,0.0
ARE,2045,0.0
ARE,2046,0.0
ARE,2047,0.0
ARE,2048,0.0
ARE,2049,0.0
ARE,2050,0.0
ARG,1980,515.8
ARG,1981,515.8
ARG,1982,515.8
ARG,1983,515.8
ARG,1984,515.8
ARG,1985,515.8
ARG,1986,515.8
ARG,1987,515.8
ARG,1988,515.8
ARG,1989,515.8
ARG,1990,515.8
ARG,1991,515.8
ARG,1992,515.8
ARG,1993,515.8
ARG,1994,515.8
ARG,1995,515.8
ARG,1996,515.8
ARG,1997,515.8
ARG,1998,515.8
ARG,1999,515.8
ARG,2000,515.8
ARG,2001,515.8
ARG,2002,515.8
ARG,2003,515.8
ARG,2004,515.8
ARG,2005,515.8
ARG,2006,515.8
ARG,2007,515.8
ARG,2008,515.8
ARG,2009,515.8
ARG,2010,515.8
ARG,2011,515.8
ARG,2012,515.8
ARG,2013,515.8
ARG,2014,515.8
ARG,2015,515.8
ARG,2016,515.8
ARG,2017,515.8
ARG,2018,515.8
ARG,2019,515.8
ARG,2020,515.8
ARG,2021,515.8
ARG,2022,515.8
ARG,2023,515.8
ARG,2024,515.8
