ISO,Year,TFA
ARM,2009,7.769
ARM,2010,7.769
ARM,2011,7.769
ARM,2012,7.769
ARM,2013,7.769
ARM,2014,7.769
ARM,2015,7.769
ARM,2016,7.769
ARM,2017,7.769
ARM,2018,7.769
ARM,2019,7.769
ARM,2020,7.769
ARM,2021,7.769
ARM,2022,7.769
ARM,2023,7.769
ARM,2024,7.769
ARM,2025,7.769
ARM,2026,7.769
ARM,2027,7.769
ARM,2028,7.769
ARM,2029,7.769
ARM,2030,7.769
ARM,2031,7.769
ARM,2032,7.769
ARM,2033,7.769
ARM,2034,7.769
ARM,2035,7.769
ARM,2036,7.769
ARM,2037,7.769
ARM,2038,7.769
ARM,2039,7.769
ARM,2040,7.769
ARM,2041,7.769
ARM,2042,7.769
ARM,2043,7.769
ARM,2044,7.769
ARM,2045,7.769
ARM,2046,7.769
ARM,2047,7.769
ARM,2048,7.769
ARM,2049,7.769
ARM,2050,7.769
ASM,1980,0.0
ASM,1981,0.0
ASM,1982,0.0
ASM,1983,0.0
ASM,1984,0.0
ASM,1985,0.0
ASM,1986,0.0
ASM,1987,0.0
ASM,1988,0.0
ASM,1989,0.0
ASM,1990,0.0
ASM,1991,0.0
ASM,1992,0.0
ASM,1993,0.0
ASM,1994,0.0
ASM,1995,0.0
ASM,1996,0.0
ASM,1997,0.0
ASM,1998,0.0
ASM,1999,0.0
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ASM,2020,0.0
ASM,2021,0.0
ASM,2022,0.0
ASM,2023,0.0
ASM,2024,0.0
ASM,2025,0.0
ASM,2026,0.0
ASM,2027,0.0
ASM,2028,0.0
ASM,2029,0.0
ASM,2030,0.0
ASM,2031,0.0
ASM,2032,0.0
ASM,2033,0.0
ASM,2034,0.0
ASM,2035,0.0
ASM,2036,0.0
ASM,2037,0.0
ASM,2038,0.0
ASM,2039,0.0
ASM,2040,0.0
ASM,2041,0.0
ASM,2042,0.0
ASM,2043,0.0
ASM,2044,0.0
ASM,2045,0.0
ASM,2046,0.0
ASM,2047,0.0
ASM,2048,0.0
ASM,2049,0.0
ASM,2050,0.0
ATF,1980,0.0
ATF,1981,0.0
ATF,1982,0.0
ATF,1983,0.0
ATF,1984,0.0
ATF,1985,0.0
ATF,1986,0.0
ATF,1987,0.0
ATF,1988,0.0
ATF,1989,0.0
ATF,1990,0.0
ATF,1991,0.0
ATF,1992,0.0
ATF,1993,0.0
ATF,1994,0.0
ATF,1995,0.0
ATF,1996,0.0
ATF,1997,0.0
ATF,1998,0.0
ATF,1999,0.0
ATF,2000,0.0
ATF,2001,0.0
ATF,2002,0.0
ATF,2003,0.0
ATF,2004,0.0
ATF,2005,0.0
ATF,2006,0.0
ATF,2007,0.0
ATF,2008,0.0
ATF,2009,0.0
ATF,2010,0.0
ATF,2011,0.0
ATF,2012,0.0
ATF,2013,0.0
ATF,2014,0.0
ATF,2015,0.0
ATF,2016,0.0
ATF,2017,0.0
ATF,2018,0.0
ATF,2019,0.0
ATF,2020,0.0
ATF,2021,0.0
ATF,2022,0.0
ATF,2023,0.0
ATF,2024,0.0
ATF,2025,0.0
ATF,2026,0.0
ATF,2027,0.0
ATF,2028,0.0
ATF,2029,0.0
ATF,2030,0.0
ATF,2031,0.0
ATF,2032,0.0
ATF,2033,0.0
ATF,2034,0.0
ATF,2035,0.0
ATF,2036,0.0
ATF,2037,0.0
ATF,2038,0.0
ATF,2039,0.0
ATF,2040,0.0
ATF,2041,0.0
ATF,2042,0.0
ATF,2043,0.0
ATF,2044,0.0
ATF,2045,0.0
ATF,2046,0.0
ATF,2047,0.0
ATF,2048,0.0
ATF,2049,0.0
ATF,2050,0.0
ATG,1980,0.052
ATG,1981,0.052
ATG,1982,0.052
ATG,1983,0.052
ATG,1984,0.052
ATG,1985,0.052
ATG,1986,0.052
ATG,1987,0.052
ATG,1988,0.052
ATG,1989,0.052
ATG,1990,0.052
ATG,1991,0.052
ATG,1992,0.052
ATG,1993,0.052
ATG,1994,0.052
ATG,1995,0.052
ATG,1996,0.052
ATG,1997,0.052
ATG,1998,0.052
ATG,1999,0.052
ATG,2000,0.052
ATG,2001,0.052
ATG,2002,0.052
ATG,2003,0.052
ATG,2004,0.052
ATG,2005,0.052
ATG,2006,0.052
ATG,2007,0.052
ATG,2008,0.052
ATG,2009,0.052
ATG,2010,0.052
ATG,2011,0.052
ATG,2012,0.052
ATG,2013,0.052
ATG,2014,0.052
ATG,2015,0.052
ATG,2016,0.052
ATG,2017,0.052
ATG,2018,0.052
ATG,2019,0.052
ATG,2020,0.052
ATG,2021,0.052
ATG,2022,0.052
ATG,2023,0.052
ATG,2024,0.052
ATG,2025,0.052
ATG,2026,0.052
ATG,2027,0.052
ATG,2028,0.052
ATG,2029,0.052
ATG,2030,0.052
ATG,2031,0.052
ATG,2032,0.052
ATG,2033,0.052
ATG,2034,0.052
