ISO,Year,SW
BDI,2050,10.06
BEL,1980,12.0
BEL,1981,12.0
BEL,1982,12.0
BEL,1983,12.0
BEL,1984,12.0
BEL,1985,12.0
BEL,1986,12.0
BEL,1987,12.0
BEL,1988,12.0
BEL,1989,12.0
BEL,1990,12.0
BEL,1991,12.0
BEL,1992,12.0
BEL,1993,12.0
BEL,1994,12.0
BEL,1995,12.0
BEL,1996,12.0
BEL,1997,12.0
BEL,1998,12.0
BEL,1999,12.0
BEL,2000,12.0
BEL,2001,12.0
BEL,2002,12.0
BEL,2003,12.0
BEL,2004,12.0
BEL,2005,12.0
BEL,2006,12.0
BEL,2007,12.0
BEL,2008,12.0
BEL,2009,12.0
BEL,2010,12.0
BEL,2011,12.0
BEL,2012,12.0
BEL,2013,12.0
BEL,2014,12.0
BEL,2015,12.0
BEL,2016,12.0
BEL,2017,12.0
BEL,2018,12.0
BEL,2019,12.0
BEL,2020,12.0
BEL,2021,12.0
BEL,2022,12.0
BEL,2023,12.0
BEL,2024,12.0
BEL,2025,12.0
BEL,2026,12.0
BEL,2027,12.0
BEL,2028,12.0
BEL,2029,12.0
BEL,2030,12.0
BEL,2031,12.0
BEL,2032,12.0
BEL,2033,12.0
BEL,2034,12.0
BEL,2035,12.0
BEL,2036,12.0
BEL,2037,12.0
BEL,2038,12.0
BEL,2039,12.0
BEL,2040,12.0
BEL,2041,12.0
BEL,2042,12.0
BEL,2043,12.0
BEL,2044,12.0
BEL,2045,12.0
BEL,2046,12.0
BEL,2047,12.0
BEL,2048,12.0
