ISO,Year,GDPC
AND,1974,44186.4290832146
AND,1975,42711.4745829757
AND,1976,42634.0917910764
AND,1977,42514.4209587348
AND,1978,41901.2714300987
AND,1979,40617.2283412736
AND,1980,40076.7104991884
AND,1981,38494.1831759067
AND,1982,37365.7752340516
AND,1983,36396.0078557637
AND,1984,35450.3115567374
AND,1985,34732.872913185
AND,1986,34384.9106439106
AND,1987,34840.7420976256
AND,1988,35178.8672109271
AND,1989,35460.8900418109
AND,1990,35410.3176062566
AND,1991,34926.5667828861
AND,1992,33923.9841131311
AND,1993,32427.0466237806
AND,1994,32296.1802412276
AND,1995,32577.0673618283
AND,1996,33821.6667720915
AND,1997,36907.4285929324
AND,1998,38196.3937249671
AND,1999,39621.2565388614
AND,2000,40379.390206452
AND,2001,42393.0818204197
AND,2002,42607.056937381
AND,2003,44328.7604494183
AND,2004,46010.1013427567
AND,2005,46880.8061047792
AND,2006,47845.400420286
AND,2007,47594.8281439041
AND,2008,44317.5502434378
AND,2009,41668.8373600629
AND,2010,40852.6667774434
AND,2011,41191.7854116591
AND,2012,39769.5614582283
AND,2013,39143.6896810315
AND,2014,40914.7285238633
AND,2015,42140.9617984695
AND,2016,44107.9563309965
AND,2017,44430.7440094935
AND,2018,45133.7136149095
AND,2019,45887.3021264552
ARB,1975,4069.29706657125
ARB,1976,4565.94641927511
ARB,1977,4786.3381133601
ARB,1978,4601.04077608879
ARB,1979,4974.0526343136
ARB,1980,5254.16730081613
ARB,1981,5245.4324948427
ARB,1982,4623.11851328074
ARB,1983,4174.48328371861
ARB,1984,4104.12045200896
ARB,1985,3889.60858616919
ARB,1986,3954.46370683489
ARB,1987,3821.82075059212
ARB,1988,3926.34563357885
ARB,1989,3909.91531936399
ARB,1990,4266.2360780366
ARB,1991,4215.2855807567
ARB,1992,4343.24818263543
ARB,1993,4367.30186541724
ARB,1994,4393.26199200571
ARB,1995,4377.4566680337
ARB,1996,4474.29596402499
ARB,1997,4560.82653272493
ARB,1998,4698.90059701862
ARB,1999,4682.82969190953
ARB,2000,4836.09530392798
ARB,2001,4808.04638980802
ARB,2002,4733.16686024951
ARB,2003,4878.15154586759
ARB,2004,5218.4621865787
ARB,2005,5393.94029230816
ARB,2006,5611.25410600898
ARB,2007,5725.91471416968
ARB,2008,5913.54227181057
ARB,2009,5797.32713748938
ARB,2010,5926.71296268116
ARB,2011,6008.89692801383
