ISO,Year,ETo
NCL,2015,1357.2203384745762
NCL,2016,1357.2203384745762
NCL,2017,1357.2203384745762
NCL,2018,1357.2203384745762
NCL,2019,1357.2203384745762
NER,2000,2337.463800124232
NER,2001,2337.463800124232
NER,2002,2337.463800124232
NER,2003,2337.463800124232
NER,2004,2337.463800124232
NER,2005,2337.463800124232
NER,2006,2337.463800124232
NER,2007,2337.463800124232
NER,2008,2337.463800124232
NER,2009,2337.463800124232
NER,2010,2337.463800124232
NER,2011,2337.463800124232
NER,2012,2337.463800124232
NER,2013,2337.463800124232
NER,2014,2337.463800124232
NER,2015,2337.463800124232
NER,2016,2337.463800124232
NER,2017,2337.463800124232
NER,2018,2337.463800124232
NER,2019,2337.463800124232
NGA,2000,1833.3681619764093
NGA,2001,1833.3681619764093
NGA,2002,1833.3681619764093
NGA,2003,1833.3681619764093
NGA,2004,1833.3681619764093
NGA,2005,1833.3681619764093
NGA,2006,1833.3681619764093
NGA,2007,1833.3681619764093
NGA,2008,1833.3681619764093
NGA,2009,1833.3681619764093
NGA,2010,1833.3681619764093
NGA,2011,1833.3681619764093
NGA,2012,1833.3681619764093
NGA,2013,1833.3681619764093
NGA,2014,1833.3681619764093
NGA,2015,1833.3681619764093
NGA,2016,1833.3681619764093
NGA,2017,1833.3681619764093
NGA,2018,1833.3681619764093
NGA,2019,1833.3681619764093
NIC,2000,1501.922897800776
NIC,2001,1501.922897800776
NIC,2002,1501.922897800776
NIC,2003,1501.922897800776
NIC,2004,1501.922897800776
NIC,2005,1501.922897800776
NIC,2006,1501.922897800776
NIC,2007,1501.922897800776
NIC,2008,1501.922897800776
NIC,2009,1501.922897800776
NIC,2010,1501.922897800776
NIC,2011,1501.922897800776
NIC,2012,1501.922897800776
NIC,2013,1501.922897800776
NIC,2014,1501.922897800776
NIC,2015,1501.922897800776
NIC,2016,1501.922897800776
NIC,2017,1501.922897800776
NIC,2018,1501.922897800776
NIC,2019,1501.922897800776
NIU,2000,0.0
NIU,2001,0.0
NIU,2002,0.0
NIU,2003,0.0
NIU,2004,0.0
NIU,2005,0.0
NIU,2006,0.0
NIU,2007,0.0
NIU,2008,0.0
NIU,2009,0.0
NIU,2010,0.0
NIU,2011,0.0
NIU,2012,0.0
NIU,2013,0.0
NIU,2014,0.0
NIU,2015,0.0
NIU,2016,0.0
NIU,2017,0.0
NIU,2018,0.0
NIU,2019,0.0
NLD,2000,606.7118750000001
NLD,2001,606.7118750000001
NLD,2002,606.7118750000001
NLD,2003,606.7118750000001
NLD,2004,606.7118750000001
NLD,2005,606.7118750000001
NLD,2006,606.7118750000001
NLD,2007,606.7118750000001
NLD,2008,606.7118750000001
NLD,2009,606.7118750000001
NLD,2010,606.7118750000001
NLD,2011,606.7118750000001
NLD,2012,606.7118750000001
NLD,2013,606.7118750000001
NLD,2014,606.7118750000001
NLD,2015,606.7118750000001
NLD,2016,606.7118750000001
NLD,2017,606.7118750000001
NLD,2018,606.7118750000001
NLD,2019,606.7118750000001
NOR,2000,0.0
NOR,2001,0.0
NOR,2002,0.0
NOR,2003,0.0
NOR,2004,0.0
NOR,2005,0.0
NOR,2006,0.0
NOR,2007,0.0
NOR,2008,0.0
NOR,2009,0.0
NOR,2010,0.0
NOR,2011,0.0
NOR,2012,0.0
NOR,2013,0.0
NOR,2014,0.0
NOR,2015,0.0
NOR,2016,0.0
NOR,2017,0.0
NOR,2018,0.0
NOR,2019,0.0
NPL,2000,1056.2162993336751
NPL,2001,1056.2162993336751
NPL,2002,1056.2162993336751
NPL,2003,1056.2162993336751
NPL,2004,1056.2162993336751
NPL,2005,1056.2162993336751
NPL,2006,1056.2162993336751
NPL,2007,1056.2162993336751
NPL,2008,1056.2162993336751
NPL,2009,1056.2162993336751
NPL,2010,1056.2162993336751
NPL,2011,1056.2162993336751
NPL,2012,1056.2162993336751
NPL,2013,1056.2162993336751
NPL,2014,1056.2162993336751
NPL,2015,1056.2162993336751
NPL,2016,1056.2162993336751
NPL,2017,1056.2162993336751
NPL,2018,1056.2162993336751
NPL,2019,1056.2162993336751
NRU,2000,0.0
NRU,2001,0.0
NRU,2002,0.0
NRU,2003,0.0
NRU,2004,0.0
NRU,2005,0.0
NRU,2006,0.0
NRU,2007,0.0
NRU,2008,0.0
NRU,2009,0.0
NRU,2010,0.0
NRU,2011,0.0
NRU,2012,0.0
NRU,2013,0.0
NRU,2014,0.0
NRU,2015,0.0
NRU,2016,0.0
NRU,2017,0.0
NRU,2018,0.0
NRU,2019,0.0
NZL,2000,733.179942829919
NZL,2001,733.179942829919
NZL,2002,733.179942829919
NZL,2003,733.179942829919
NZL,2004,733.179942829919
NZL,2005,733.179942829919
NZL,2006,733.179942829919
NZL,2007,733.179942829919
NZL,2008,733.179942829919
NZL,2009,733.179942829919
NZL,2010,733.179942829919
NZL,2011,733.179942829919
NZL,2012,733.179942829919
NZL,2013,733.179942829919
NZL,2014,733.179942829919
NZL,2015,733.179942829919
NZL,2016,733.179942829919
NZL,2017,733.179942829919
NZL,2018,733.179942829919
NZL,2019,733.179942829919
OMN,2000,1979.1311441611083
OMN,2001,1979.1311441611083
OMN,2002,1979.1311441611083
OMN,2003,1979.1311441611083
OMN,2004,1979.1311441611083
OMN,2005,1979.1311441611083
OMN,2006,1979.1311441611083
OMN,2007,1979.1311441611083
OMN,2008,1979.1311441611083
OMN,2009,1979.1311441611083
OMN,2010,1979.1311441611083
OMN,2011,1979.1311441611083
OMN,2012,1979.1311441611083
OMN,2013,1979.1311441611083
OMN,2014,1979.1311441611083
OMN,2015,1979.1311441611083
OMN,2016,1979.1311441611083
OMN,2017,1979.1311441611083
OMN,2018,1979.1311441611083
OMN,2019,1979.1311441611083
PAK,2000,1539.6095448250678
PAK,2001,1539.6095448250678
PAK,2002,1539.6095448250678
PAK,2003,1539.6095448250678
PAK,2004,1539.6095448250678
PAK,2005,1539.6095448250678
PAK,2006,1539.6095448250678
PAK,2007,1539.6095448250678
PAK,2008,1539.6095448250678
PAK,2009,1539.6095448250678
PAK,2010,1539.6095448250678
PAK,2011,1539.6095448250678
PAK,2012,1539.6095448250678
PAK,2013,1539.6095448250678
PAK,2014,1539.6095448250678
PAK,2015,1539.6095448250678
PAK,2016,1539.6095448250678
PAK,2017,1539.6095448250678
PAK,2018,1539.6095448250678
PAK,2019,1539.6095448250678
PAN,2000,1354.568529076397
PAN,2001,1354.568529076397
PAN,2002,1354.568529076397
PAN,2003,1354.568529076397
PAN,2004,1354.568529076397
PAN,2005,1354.568529076397
PAN,2006,1354.568529076397
PAN,2007,1354.568529076397
PAN,2008,1354.568529076397
PAN,2009,1354.568529076397
PAN,2010,1354.568529076397
PAN,2011,1354.568529076397
PAN,2012,1354.568529076397
PAN,2013,1354.568529076397
PAN,2014,1354.568529076397
PAN,2015,1354.568529076397
PAN,2016,1354.568529076397
PAN,2017,1354.568529076397
PAN,2018,1354.568529076397
PAN,2019,1354.568529076397
PER,2000,1316.4930547397976
PER,2001,1316.4930547397976
PER,2002,1316.4930547397976
PER,2003,1316.4930547397976
PER,2004,1316.4930547397976
PER,2005,1316.4930547397976
PER,2006,1316.4930547397976
PER,2007,1316.4930547397976
PER,2008,1316.4930547397976
PER,2009,1316.4930547397976
PER,2010,1316.4930547397976
PER,2011,1316.4930547397976
PER,2012,1316.4930547397976
PER,2013,1316.4930547397976
PER,2014,1316.4930547397976
PER,2015,1316.4930547397976
PER,2016,1316.4930547397976
PER,2017,1316.4930547397976
PER,2018,1316.4930547397976
PER,2019,1316.4930547397976
PHL,2000,1410.0240975572517
PHL,2001,1410.0240975572517
PHL,2002,1410.0240975572517
PHL,2003,1410.0240975572517
PHL,2004,1410.0240975572517
PHL,2005,1410.0240975572517
PHL,2006,1410.0240975572517
PHL,2007,1410.0240975572517
PHL,2008,1410.0240975572517
PHL,2009,1410.0240975572517
PHL,2010,1410.0240975572517
PHL,2011,1410.0240975572517
PHL,2012,1410.0240975572517
PHL,2013,1410.0240975572517
PHL,2014,1410.0240975572517
PHL,2015,1410.0240975572517
PHL,2016,1410.0240975572517
PHL,2017,1410.0240975572517
PHL,2018,1410.0240975572517
PHL,2019,1410.0240975572517
PLW,2000,1202.1666666666667
PLW,2001,1202.1666666666667
PLW,2002,1202.1666666666667
PLW,2003,1202.1666666666667
PLW,2004,1202.1666666666667
PLW,2005,1202.1666666666667
PLW,2006,1202.1666666666667
PLW,2007,1202.1666666666667
PLW,2008,1202.1666666666667
PLW,2009,1202.1666666666667
PLW,2010,1202.1666666666667
PLW,2011,1202.1666666666667
PLW,2012,1202.1666666666667
PLW,2013,1202.1666666666667
PLW,2014,1202.1666666666667
PLW,2015,1202.1666666666667
PLW,2016,1202.1666666666667
PLW,2017,1202.1666666666667
PLW,2018,1202.1666666666667
PLW,2019,1202.1666666666667
PNG,2000,1400.9368426759277
PNG,2001,1400.9368426759277
PNG,2002,1400.9368426759277
PNG,2003,1400.9368426759277
PNG,2004,1400.9368426759277
PNG,2005,1400.9368426759277
PNG,2006,1400.9368426759277
PNG,2007,1400.9368426759277
PNG,2008,1400.9368426759277
PNG,2009,1400.9368426759277
PNG,2010,1400.9368426759277
PNG,2011,1400.9368426759277
PNG,2012,1400.9368426759277
PNG,2013,1400.9368426759277
PNG,2014,1400.9368426759277
PNG,2015,1400.9368426759277
PNG,2016,1400.9368426759277
PNG,2017,1400.9368426759277
PNG,2018,1400.9368426759277
PNG,2019,1400.9368426759277
POL,2000,639.8814914886901
POL,2001,639.8814914886901
POL,2002,639.8814914886901
POL,2003,639.8814914886901
POL,2004,639.8814914886901
POL,2005,639.8814914886901
POL,2006,639.8814914886901
POL,2007,639.8814914886901
POL,2008,639.8814914886901
POL,2009,639.8814914886901
POL,2010,639.8814914886901
POL,2011,639.8814914886901
POL,2012,639.8814914886901
POL,2013,639.8814914886901
POL,2014,639.8814914886901
POL,2015,639.8814914886901
POL,2016,639.8814914886901
POL,2017,639.8814914886901
POL,2018,639.8814914886901
POL,2019,639.8814914886901
PRI,2000,1573.2818172727273
PRI,2001,1573.2818172727273
PRI,2002,1573.2818172727273
PRI,2003,1573.2818172727273
PRI,2004,1573.2818172727273
PRI,2005,1573.2818172727273
PRI,2006,1573.2818172727273
PRI,2007,1573.2818172727273
PRI,2008,1573.2818172727273
PRI,2009,1573.2818172727273
PRI,2010,1573.2818172727273
PRI,2011,1573.2818172727273
PRI,2012,1573.2818172727273
PRI,2013,1573.2818172727273
PRI,2014,1573.2818172727273
PRI,2015,1573.2818172727273
PRI,2016,1573.2818172727273
PRI,2017,1573.2818172727273
PRI,2018,1573.2818172727273
PRI,2019,1573.2818172727273
PRK,2000,825.4556092431562
PRK,2001,825.4556092431562
PRK,2002,825.4556092431562
PRK,2003,825.4556092431562
PRK,2004,825.4556092431562
PRK,2005,825.4556092431562
PRK,2006,825.4556092431562
PRK,2007,825.4556092431562
PRK,2008,825.4556092431562
PRK,2009,825.4556092431562
PRK,2010,825.4556092431562
PRK,2011,825.4556092431562
PRK,2012,825.4556092431562
PRK,2013,825.4556092431562
PRK,2014,825.4556092431562
PRK,2015,825.4556092431562
PRK,2016,825.4556092431562
PRK,2017,825.4556092431562
PRK,2018,825.4556092431562
PRK,2019,825.4556092431562
PRT,2000,1146.5415400724114
PRT,2001,1146.5415400724114
PRT,2002,1146.5415400724114
PRT,2003,1146.5415400724114
PRT,2004,1146.5415400724114
PRT,2005,1146.5415400724114
PRT,2006,1146.5415400724114
PRT,2007,1146.5415400724114
PRT,2008,1146.5415400724114
PRT,2009,1146.5415400724114
PRT,2010,1146.5415400724114
PRT,2011,1146.5415400724114
PRT,2012,1146.5415400724114
PRT,2013,1146.5415400724114
PRT,2014,1146.5415400724114
PRT,2015,1146.5415400724114
PRT,2016,1146.5415400724114
PRT,2017,1146.5415400724114
PRT,2018,1146.5415400724114
PRT,2019,1146.5415400724114
PRY,2000,1568.0985444531864
PRY,2001,1568.0985444531864
PRY,2002,1568.0985444531864
PRY,2003,1568.0985444531864
PRY,2004,1568.0985444531864
PRY,2005,1568.0985444531864
PRY,2006,1568.0985444531864
PRY,2007,1568.0985444531864
PRY,2008,1568.0985444531864
PRY,2009,1568.0985444531864
PRY,2010,1568.0985444531864
PRY,2011,1568.0985444531864
PRY,2012,1568.0985444531864
PRY,2013,1568.0985444531864
PRY,2014,1568.0985444531864
PRY,2015,1568.0985444531864
PRY,2016,1568.0985444531864
PRY,2017,1568.0985444531864
PRY,2018,1568.0985444531864
PRY,2019,1568.0985444531864
PSE,2000,1465.2919544827585
PSE,2001,1465.2919544827585
PSE,2002,1465.2919544827585
PSE,2003,1465.2919544827585
PSE,2004,1465.2919544827585
PSE,2005,1465.2919544827585
PSE,2006,1465.2919544827585
PSE,2007,1465.2919544827585
PSE,2008,1465.2919544827585
PSE,2009,1465.2919544827585
PSE,2010,1465.2919544827585
PSE,2011,1465.2919544827585
PSE,2012,1465.2919544827585
PSE,2013,1465.2919544827585
PSE,2014,1465.2919544827585
PSE,2015,1465.2919544827585
PSE,2016,1465.2919544827585
PSE,2017,1465.2919544827585
PSE,2018,1465.2919544827585
PSE,2019,1465.2919544827585
PYF,2000,0.0
PYF,2001,0.0
PYF,2002,0.0
PYF,2003,0.0
PYF,2004,0.0
PYF,2005,0.0
PYF,2006,0.0
PYF,2007,0.0
PYF,2008,0.0
PYF,2009,0.0
PYF,2010,0.0
PYF,2011,0.0
PYF,2012,0.0
PYF,2013,0.0
PYF,2014,0.0
PYF,2015,0.0
PYF,2016,0.0
PYF,2017,0.0
PYF,2018,0.0
PYF,2019,0.0
QAT,2000,2223.168794326241
QAT,2001,2223.168794326241
QAT,2002,2223.168794326241
QAT,2003,2223.168794326241
QAT,2004,2223.168794326241
QAT,2005,2223.168794326241
QAT,2006,2223.168794326241
QAT,2007,2223.168794326241
QAT,2008,2223.168794326241
QAT,2009,2223.168794326241
QAT,2010,2223.168794326241
QAT,2011,2223.168794326241
QAT,2012,2223.168794326241
QAT,2013,2223.168794326241
QAT,2014,2223.168794326241
QAT,2015,2223.168794326241
QAT,2016,2223.168794326241
QAT,2017,2223.168794326241
QAT,2018,2223.168794326241
QAT,2019,2223.168794326241
ROU,2000,753.5185467479674
ROU,2001,753.5185467479674
ROU,2002,753.5185467479674
ROU,2003,753.5185467479674
ROU,2004,753.5185467479674
ROU,2005,753.5185467479674
ROU,2006,753.5185467479674
ROU,2007,753.5185467479674
ROU,2008,753.5185467479674
ROU,2009,753.5185467479674
ROU,2010,753.5185467479674
ROU,2011,753.5185467479674
ROU,2012,753.5185467479674
ROU,2013,753.5185467479674
ROU,2014,753.5185467479674
ROU,2015,753.5185467479674
ROU,2016,753.5185467479674
ROU,2017,753.5185467479674
ROU,2018,753.5185467479674
ROU,2019,753.5185467479674
RWA,2000,1222.7679180887371
RWA,2001,1222.7679180887371
RWA,2002,1222.7679180887371
RWA,2003,1222.7679180887371
RWA,2004,1222.7679180887371
RWA,2005,1222.7679180887371
RWA,2006,1222.7679180887371
RWA,2007,1222.7679180887371
RWA,2008,1222.7679180887371
RWA,2009,1222.7679180887371
RWA,2010,1222.7679180887371
RWA,2011,1222.7679180887371
RWA,2012,1222.7679180887371
RWA,2013,1222.7679180887371
RWA,2014,1222.7679180887371
RWA,2015,1222.7679180887371
RWA,2016,1222.7679180887371
RWA,2017,1222.7679180887371
RWA,2018,1222.7679180887371
RWA,2019,1222.7679180887371
SAU,2000,2261.777727245412
SAU,2001,2261.777727245412
SAU,2002,2261.777727245412
SAU,2003,2261.777727245412
SAU,2004,2261.777727245412
SAU,2005,2261.777727245412
SAU,2006,2261.777727245412
SAU,2007,2261.777727245412
SAU,2008,2261.777727245412
SAU,2009,2261.777727245412
SAU,2010,2261.777727245412
SAU,2011,2261.777727245412
SAU,2012,2261.777727245412
SAU,2013,2261.777727245412
SAU,2014,2261.777727245412
SAU,2015,2261.777727245412
SAU,2016,2261.777727245412
SAU,2017,2261.777727245412
SAU,2018,2261.777727245412
SAU,2019,2261.777727245412
SDN,2000,2199.49717564382
SDN,2001,2199.49717564382
SDN,2002,2199.49717564382
SDN,2003,2199.49717564382
SDN,2004,2199.49717564382
SDN,2005,2199.49717564382
SDN,2006,2199.49717564382
SDN,2007,2199.49717564382
SDN,2008,2199.49717564382
SDN,2009,2199.49717564382
SDN,2010,2199.49717564382
SDN,2011,2199.49717564382
SDN,2012,2199.49717564382
SDN,2013,2199.49717564382
SDN,2014,2199.49717564382
SDN,2015,2199.49717564382
SDN,2016,2199.49717564382
SDN,2017,2199.49717564382
SDN,2018,2199.49717564382
SDN,2019,2199.49717564382
SEN,2000,1808.6202360876896
SEN,2001,1808.6202360876896
SEN,2002,1808.6202360876896
SEN,2003,1808.6202360876896
SEN,2004,1808.6202360876896
SEN,2005,1808.6202360876896
SEN,2006,1808.6202360876896
SEN,2007,1808.6202360876896
SEN,2008,1808.6202360876896
SEN,2009,1808.6202360876896
SEN,2010,1808.6202360876896
SEN,2011,1808.6202360876896
SEN,2012,1808.6202360876896
SEN,2013,1808.6202360876896
SEN,2014,1808.6202360876896
SEN,2015,1808.6202360876896
SEN,2016,1808.6202360876896
SEN,2017,1808.6202360876896
SEN,2018,1808.6202360876896
SEN,2019,1808.6202360876896
SGP,2000,1385.8
SGP,2001,1385.8
SGP,2002,1385.8
SGP,2003,1385.8
SGP,2004,1385.8
SGP,2005,1385.8
SGP,2006,1385.8
SGP,2007,1385.8
SGP,2008,1385.8
SGP,2009,1385.8
SGP,2010,1385.8
SGP,2011,1385.8
SGP,2012,1385.8
SGP,2013,1385.8
SGP,2014,1385.8
SGP,2015,1385.8
SGP,2016,1385.8
SGP,2017,1385.8
SGP,2018,1385.8
SGP,2019,1385.8
SLB,2000,1286.3253731343284
SLB,2001,1286.3253731343284
SLB,2002,1286.3253731343284
SLB,2003,1286.3253731343284
SLB,2004,1286.3253731343284
SLB,2005,1286.3253731343284
SLB,2006,1286.3253731343284
SLB,2007,1286.3253731343284
SLB,2008,1286.3253731343284
SLB,2009,1286.3253731343284
SLB,2010,1286.3253731343284
SLB,2011,1286.3253731343284
SLB,2012,1286.3253731343284
SLB,2013,1286.3253731343284
SLB,2014,1286.3253731343284
SLB,2015,1286.3253731343284
SLB,2016,1286.3253731343284
SLB,2017,1286.3253731343284
SLB,2018,1286.3253731343284
SLB,2019,1286.3253731343284
SLE,2000,1554.6423887587823
SLE,2001,1554.6423887587823
SLE,2002,1554.6423887587823
SLE,2003,1554.6423887587823
SLE,2004,1554.6423887587823
SLE,2005,1554.6423887587823
SLE,2006,1554.6423887587823
SLE,2007,1554.6423887587823
SLE,2008,1554.6423887587823
