ISO,Year,WRR
BRA,2015,48.0
BRA,2016,48.0
BRA,2017,48.0
BRA,2018,48.0
BRA,2019,48.0
BRB,2000,0.0
BRB,2001,0.0
BRB,2002,0.0
BRB,2003,0.0
BRB,2004,0.0
BRB,2005,0.0
BRB,2006,0.0
BRB,2007,0.0
BRB,2008,0.0
BRB,2009,0.0
BRB,2010,0.0
BRB,2011,0.0
BRB,2012,0.0
BRB,2013,0.0
BRB,2014,0.0
BRB,2015,0.0
BRB,2016,0.0
BRB,2017,0.0
BRB,2018,0.0
BRB,2019,0.0
BRN,2000,0.0
BRN,2001,0.0
BRN,2002,0.0
BRN,2003,0.0
BRN,2004,0.0
BRN,2005,0.0
BRN,2006,0.0
BRN,2007,0.0
BRN,2008,0.0
BRN,2009,0.0
BRN,2010,0.0
BRN,2011,0.0
BRN,2012,0.0
BRN,2013,0.0
BRN,2014,0.0
BRN,2015,0.0
BRN,2016,0.0
BRN,2017,0.0
BRN,2018,0.0
BRN,2019,0.0
BTN,2000,33.0
BTN,2001,33.0
BTN,2002,33.0
BTN,2003,33.0
BTN,2004,33.0
BTN,2005,33.0
BTN,2006,33.0
BTN,2007,33.0
BTN,2008,33.0
BTN,2009,33.0
BTN,2010,33.0
BTN,2011,33.0
BTN,2012,33.0
BTN,2013,33.0
BTN,2014,33.0
BTN,2015,33.0
BTN,2016,33.0
BTN,2017,33.0
BTN,2018,33.0
BTN,2019,33.0
BWA,2000,34.0
BWA,2001,34.0
BWA,2002,34.0
BWA,2003,34.0
BWA,2004,34.0
BWA,2005,34.0
BWA,2006,34.0
BWA,2007,34.0
BWA,2008,34.0
BWA,2009,34.0
BWA,2010,34.0
BWA,2011,34.0
BWA,2012,34.0
BWA,2013,34.0
BWA,2014,34.0
BWA,2015,34.0
BWA,2016,34.0
BWA,2017,34.0
BWA,2018,34.0
BWA,2019,34.0
CAF,2000,0.0
CAF,2001,0.0
CAF,2002,0.0
CAF,2003,0.0
CAF,2004,0.0
CAF,2005,0.0
CAF,2006,0.0
CAF,2007,0.0
CAF,2008,0.0
CAF,2009,0.0
CAF,2010,0.0
CAF,2011,0.0
CAF,2012,0.0
CAF,2013,0.0
CAF,2014,0.0
CAF,2015,0.0
CAF,2016,0.0
CAF,2017,0.0
CAF,2018,0.0
CAF,2019,0.0
CAN,2000,54.0
CAN,2001,54.0
CAN,2002,54.0
CAN,2003,54.0
CAN,2004,54.0
CAN,2005,54.0
CAN,2006,54.0
CAN,2007,54.0
CAN,2008,54.0
CAN,2009,54.0
CAN,2010,54.0
CAN,2011,54.0
CAN,2012,54.0
CAN,2013,54.0
CAN,2014,54.0
CAN,2015,54.0
CAN,2016,54.0
CAN,2017,54.0
CAN,2018,54.0
CAN,2019,54.0
CHE,2000,60.0
CHE,2001,60.0
CHE,2002,60.0
CHE,2003,60.0
CHE,2004,60.0
CHE,2005,60.0
CHE,2006,60.0
CHE,2007,60.0
CHE,2008,60.0
CHE,2009,60.0
CHE,2010,60.0
CHE,2011,60.0
CHE,2012,60.0
CHE,2013,60.0
CHE,2014,60.0
CHE,2015,60.0
CHE,2016,60.0
CHE,2017,60.0
CHE,2018,60.0
CHE,2019,60.0
CHL,2000,22.0
CHL,2001,22.0
CHL,2002,22.0
CHL,2003,22.0
CHL,2004,22.0
CHL,2005,22.0
CHL,2006,22.0
CHL,2007,22.0
CHL,2008,22.0
CHL,2009,22.0
CHL,2010,22.0
CHL,2011,22.0
CHL,2012,22.0
CHL,2013,22.0
CHL,2014,22.0
CHL,2015,22.0
CHL,2016,22.0
CHL,2017,22.0
CHL,2018,22.0
CHL,2019,22.0
CIV,2000,0.0
CIV,2001,0.0
CIV,2002,0.0
CIV,2003,0.0
CIV,2004,0.0
CIV,2005,0.0
CIV,2006,0.0
CIV,2007,0.0
CIV,2008,0.0
CIV,2009,0.0
CIV,2010,0.0
CIV,2011,0.0
CIV,2012,0.0
CIV,2013,0.0
CIV,2014,0.0
CIV,2015,0.0
CIV,2016,0.0
CIV,2017,0.0
CIV,2018,0.0
CIV,2019,0.0
CMR,2000,27.0
CMR,2001,27.0
CMR,2002,27.0
CMR,2003,27.0
CMR,2004,27.0
CMR,2005,27.0
CMR,2006,27.0
CMR,2007,27.0
CMR,2008,27.0
CMR,2009,27.0
CMR,2010,27.0
CMR,2011,27.0
CMR,2012,27.0
CMR,2013,27.0
CMR,2014,27.0
CMR,2015,27.0
CMR,2016,27.0
CMR,2017,27.0
CMR,2018,27.0
CMR,2019,27.0
COD,2000,0.0
COD,2001,0.0
COD,2002,0.0
COD,2003,0.0
COD,2004,0.0
COD,2005,0.0
COD,2006,0.0
COD,2007,0.0
COD,2008,0.0
COD,2009,0.0
COD,2010,0.0
COD,2011,0.0
COD,2012,0.0
COD,2013,0.0
COD,2014,0.0
COD,2015,0.0
COD,2016,0.0
COD,2017,0.0
COD,2018,0.0
COD,2019,0.0
COG,2000,0.0
COG,2001,0.0
COG,2002,0.0
COG,2003,0.0
COG,2004,0.0
COG,2005,0.0
COG,2006,0.0
COG,2007,0.0
COG,2008,0.0
COG,2009,0.0
COG,2010,0.0
COG,2011,0.0
COG,2012,0.0
COG,2013,0.0
COG,2014,0.0
COG,2015,0.0
COG,2016,0.0
COG,2017,0.0
COG,2018,0.0
COG,2019,0.0
COK,2000,0.0
COK,2001,0.0
COK,2002,0.0
COK,2003,0.0
COK,2004,0.0
COK,2005,0.0
COK,2006,0.0
COK,2007,0.0
COK,2008,0.0
COK,2009,0.0
COK,2010,0.0
COK,2011,0.0
COK,2012,0.0
COK,2013,0.0
COK,2014,0.0
COK,2015,0.0
COK,2016,0.0
COK,2017,0.0
COK,2018,0.0
COK,2019,0.0
COL,2000,39.0
COL,2001,39.0
COL,2002,39.0
COL,2003,39.0
COL,2004,39.0
COL,2005,39.0
COL,2006,39.0
COL,2007,39.0
COL,2008,39.0
COL,2009,39.0
COL,2010,39.0
COL,2011,39.0
COL,2012,39.0
COL,2013,39.0
COL,2014,39.0
COL,2015,39.0
COL,2016,39.0
COL,2017,39.0
COL,2018,39.0
COL,2019,39.0
COM,2000,0.0
COM,2001,0.0
COM,2002,0.0
COM,2003,0.0
COM,2004,0.0
COM,2005,0.0
COM,2006,0.0
COM,2007,0.0
COM,2008,0.0
COM,2009,0.0
COM,2010,0.0
COM,2011,0.0
COM,2012,0.0
COM,2013,0.0
COM,2014,0.0
COM,2015,0.0
COM,2016,0.0
COM,2017,0.0
COM,2018,0.0
COM,2019,0.0
CPV,2000,0.0
CPV,2001,0.0
CPV,2002,0.0
CPV,2003,0.0
CPV,2004,0.0
CPV,2005,0.0
CPV,2006,0.0
CPV,2007,0.0
CPV,2008,0.0
CPV,2009,0.0
CPV,2010,0.0
CPV,2011,0.0
CPV,2012,0.0
CPV,2013,0.0
CPV,2014,0.0
CPV,2015,0.0
CPV,2016,0.0
CPV,2017,0.0
CPV,2018,0.0
CPV,2019,0.0
CRI,2000,0.0
CRI,2001,0.0
CRI,2002,0.0
CRI,2003,0.0
CRI,2004,0.0
CRI,2005,0.0
CRI,2006,0.0
CRI,2007,0.0
CRI,2008,0.0
CRI,2009,0.0
CRI,2010,0.0
CRI,2011,0.0
CRI,2012,0.0
CRI,2013,0.0
CRI,2014,0.0
CRI,2015,0.0
CRI,2016,0.0
CRI,2017,0.0
CRI,2018,0.0
CRI,2019,0.0
CUB,2000,0.0
CUB,2001,0.0
CUB,2002,0.0
CUB,2003,0.0
CUB,2004,0.0
CUB,2005,0.0
CUB,2006,0.0
CUB,2007,0.0
CUB,2008,0.0
CUB,2009,0.0
CUB,2010,0.0
CUB,2011,0.0
CUB,2012,0.0
CUB,2013,0.0
CUB,2014,0.0
CUB,2015,0.0
CUB,2016,0.0
CUB,2017,0.0
CUB,2018,0.0
CUB,2019,0.0
CYM,2000,0.0
CYM,2001,0.0
CYM,2002,0.0
CYM,2003,0.0
CYM,2004,0.0
CYM,2005,0.0
CYM,2006,0.0
CYM,2007,0.0
CYM,2008,0.0
CYM,2009,0.0
CYM,2010,0.0
CYM,2011,0.0
CYM,2012,0.0
CYM,2013,0.0
CYM,2014,0.0
CYM,2015,0.0
CYM,2016,0.0
CYM,2017,0.0
CYM,2018,0.0
CYM,2019,0.0
CYP,2000,62.0
CYP,2001,62.0
CYP,2002,62.0
CYP,2003,62.0
CYP,2004,62.0
CYP,2005,62.0
CYP,2006,62.0
CYP,2007,62.0
CYP,2008,62.0
CYP,2009,62.0
CYP,2010,62.0
CYP,2011,62.0
CYP,2012,62.0
CYP,2013,62.0
CYP,2014,62.0
CYP,2015,62.0
CYP,2016,62.0
CYP,2017,62.0
CYP,2018,62.0
CYP,2019,62.0
CZE,2000,32.0
CZE,2001,32.0
CZE,2002,32.0
CZE,2003,32.0
CZE,2004,32.0
CZE,2005,32.0
CZE,2006,32.0
CZE,2007,32.0
CZE,2008,32.0
CZE,2009,32.0
CZE,2010,32.0
CZE,2011,32.0
CZE,2012,32.0
CZE,2013,32.0
CZE,2014,32.0
CZE,2015,32.0
CZE,2016,32.0
CZE,2017,32.0
CZE,2018,32.0
CZE,2019,32.0
DEU,2000,60.0
DEU,2001,60.0
DEU,2002,60.0
DEU,2003,60.0
DEU,2004,60.0
DEU,2005,60.0
DEU,2006,60.0
DEU,2007,60.0
DEU,2008,60.0
DEU,2009,60.0
DEU,2010,60.0
DEU,2011,60.0
DEU,2012,60.0
DEU,2013,60.0
DEU,2014,60.0
DEU,2015,60.0
DEU,2016,60.0
DEU,2017,60.0
DEU,2018,60.0
DEU,2019,60.0
DJI,2000,0.0
DJI,2001,0.0
DJI,2002,0.0
DJI,2003,0.0
DJI,2004,0.0
DJI,2005,0.0
DJI,2006,0.0
DJI,2007,0.0
DJI,2008,0.0
DJI,2009,0.0
DJI,2010,0.0
DJI,2011,0.0
DJI,2012,0.0
DJI,2013,0.0
DJI,2014,0.0
DJI,2015,0.0
DJI,2016,0.0
DJI,2017,0.0
DJI,2018,0.0
DJI,2019,0.0
DMA,2000,0.0
DMA,2001,0.0
DMA,2002,0.0
DMA,2003,0.0
DMA,2004,0.0
DMA,2005,0.0
DMA,2006,0.0
DMA,2007,0.0
DMA,2008,0.0
DMA,2009,0.0
DMA,2010,0.0
DMA,2011,0.0
DMA,2012,0.0
DMA,2013,0.0
DMA,2014,0.0
DMA,2015,0.0
DMA,2016,0.0
DMA,2017,0.0
DMA,2018,0.0
DMA,2019,0.0
DNK,2000,60.0
DNK,2001,60.0
DNK,2002,60.0
DNK,2003,60.0
DNK,2004,60.0
DNK,2005,60.0
DNK,2006,60.0
DNK,2007,60.0
DNK,2008,60.0
DNK,2009,60.0
DNK,2010,60.0
DNK,2011,60.0
DNK,2012,60.0
DNK,2013,60.0
DNK,2014,60.0
DNK,2015,60.0
DNK,2016,60.0
DNK,2017,60.0
DNK,2018,60.0
DNK,2019,60.0
DOM,2000,29.0
DOM,2001,29.0
DOM,2002,29.0
DOM,2003,29.0
DOM,2004,29.0
DOM,2005,29.0
DOM,2006,29.0
DOM,2007,29.0
DOM,2008,29.0
DOM,2009,29.0
DOM,2010,29.0
DOM,2011,29.0
DOM,2012,29.0
DOM,2013,29.0
DOM,2014,29.0
DOM,2015,29.0
DOM,2016,29.0
DOM,2017,29.0
DOM,2018,29.0
DOM,2019,29.0
DZA,2000,72.0
DZA,2001,72.0
DZA,2002,72.0
DZA,2003,72.0
DZA,2004,72.0
DZA,2005,72.0
DZA,2006,72.0
DZA,2007,72.0
DZA,2008,72.0
DZA,2009,72.0
DZA,2010,72.0
DZA,2011,72.0
DZA,2012,72.0
DZA,2013,72.0
DZA,2014,72.0
DZA,2015,72.0
DZA,2016,72.0
DZA,2017,72.0
DZA,2018,72.0
DZA,2019,72.0
ECU,2000,39.0
ECU,2001,39.0
ECU,2002,39.0
ECU,2003,39.0
ECU,2004,39.0
ECU,2005,39.0
ECU,2006,39.0
ECU,2007,39.0
ECU,2008,39.0
ECU,2009,39.0
ECU,2010,39.0
ECU,2011,39.0
ECU,2012,39.0
ECU,2013,39.0
ECU,2014,39.0
ECU,2015,39.0
ECU,2016,39.0
ECU,2017,39.0
ECU,2018,39.0
ECU,2019,39.0
EGY,2000,76.0
EGY,2001,76.0
EGY,2002,76.0
EGY,2003,76.0
EGY,2004,76.0
EGY,2005,76.0
EGY,2006,76.0
EGY,2007,76.0
EGY,2008,76.0
EGY,2009,76.0
EGY,2010,76.0
EGY,2011,76.0
EGY,2012,76.0
EGY,2013,76.0
EGY,2014,76.0
EGY,2015,76.0
EGY,2016,76.0
EGY,2017,76.0
EGY,2018,76.0
EGY,2019,76.0
ERI,2000,0.0
ERI,2001,0.0
ERI,2002,0.0
ERI,2003,0.0
ERI,2004,0.0
ERI,2005,0.0
ERI,2006,0.0
ERI,2007,0.0
ERI,2008,0.0
ERI,2009,0.0
ERI,2010,0.0
ERI,2011,0.0
ERI,2012,0.0
ERI,2013,0.0
ERI,2014,0.0
ERI,2015,0.0
ERI,2016,0.0
ERI,2017,0.0
ERI,2018,0.0
ERI,2019,0.0
ESP,2000,72.0
ESP,2001,72.0
