ISO,Year,AGVA
BIH,2002,1100382813.28524
BIH,2003,1100382813.28524
BIH,2004,1100382813.28524
BIH,2005,1100382813.28524
BIH,2006,1163314693.08555
BIH,2007,1188204004.36741
BIH,2008,1238652217.06711
BIH,2009,1215666792.92452
BIH,2010,1167464617.05153
BIH,2011,1165387416.7061
BIH,2012,1033192289.05751
BIH,2013,1195974959.23112
BIH,2014,1044589391.07596
BIH,2015,1140562058.63685
BIH,2016,1227234010.4885
BIH,2017,1127832811.19982
BIH,2018,1229846499.22344
BIH,2019,1204788990.99243
BLR,2000,3155112264.59045
BLR,2001,3199944537.65811
BLR,2002,3292464798.27224
BLR,2003,3541755562.20602
BLR,2004,4010924651.1185
BLR,2005,4109495830.5471
BLR,2006,4353697917.83322
BLR,2007,4562905112.43685
BLR,2008,4955613627.24446
BLR,2009,4969657242.51506
BLR,2010,5087948976.1665
BLR,2011,5427544042.02161
BLR,2012,5774652035.79866
BLR,2013,5532794399.38223
BLR,2014,5685344079.60688
BLR,2015,5548060332.71453
BLR,2016,5766497033.43488
BLR,2017,6020196624.80668
BLR,2018,5812773539.2487
BLR,2019,5986382894.04501
BLZ,2000,114649024.451273
BLZ,2001,114131952.180275
BLZ,2002,114790044.161545
BLZ,2003,159352272.607551
BLZ,2004,174441381.606673
BLZ,2005,179847137.167106
BLZ,2006,168236514.354697
BLZ,2007,133498659.057653
BLZ,2008,146566485.542874
BLZ,2009,148822800.907229
BLZ,2010,160621450.0
BLZ,2011,153617471.056482
BLZ,2012,163300824.495171
BLZ,2013,173172204.214223
BLZ,2014,177355788.952297
BLZ,2015,155168687.869476
BLZ,2016,121605996.8247
BLZ,2017,133451652.487562
BLZ,2018,128280929.777583
BLZ,2019,127387804.945859
BMU,2000,18981000.0
BMU,2001,18981000.0
BMU,2002,18981000.0
BMU,2003,18981000.0
BMU,2004,18981000.0
BMU,2005,18981000.0
BMU,2006,18981000.0
BMU,2007,18981000.0
BMU,2008,18981000.0
BMU,2009,18981000.0
BMU,2010,18981000.0
BMU,2011,19845894.4018516
BMU,2012,17830553.1607117
BMU,2013,19426718.0674092
BMU,2014,12876401.417619
BMU,2015,13152801.533343
BMU,2016,19070692.7527846
BMU,2017,18129834.0807175
BMU,2018,15627589.3244612
BMU,2019,15826194.7056271
BOL,2000,1574333842.64429
BOL,2001,1628819567.62831
BOL,2002,1636105400.49704
BOL,2003,1778657168.95425
BOL,2004,1783064929.41563
BOL,2005,1871912163.97081
BOL,2006,1951645667.69114
BOL,2007,1941774523.30881
BOL,2008,1992551943.63854
BOL,2009,2065916040.2997
BOL,2010,2041578158.51302
BOL,2011,2103966189.06279
BOL,2012,2191268969.71295
BOL,2013,2293932596.9046
BOL,2014,2381562171.88538
BOL,2015,2503405127.56725
BOL,2016,2581848171.13769
BOL,2017,2778032473.94295
BOL,2018,2970034750.42455
BOL,2019,3127436105.46315
BRA,2000,61015383753.9791
BRA,2001,64188391314.2337
BRA,2002,69336409959.0723
BRA,2003,75095729422.4647
BRA,2004,76593982037.2897
BRA,2005,77451885345.6116
BRA,2006,81045205718.5084
BRA,2007,83676744372.442
BRA,2008,88505701853.115
BRA,2009,85205607548.8858
BRA,2010,90911778080.9459
BRA,2011,96037971805.3661
BRA,2012,93077848851.7508
BRA,2013,100860501080.036
BRA,2014,103675310311.505
BRA,2015,107111453728.968
BRA,2016,101515718167.349
BRA,2017,115882614654.388
BRA,2018,117466563665.302
BRA,2019,118936938040.018
BRB,2000,0.0
BRB,2001,0.0
BRB,2002,0.0
BRB,2003,0.0
BRB,2004,0.0
BRB,2005,0.0
BRB,2006,0.0
BRB,2007,0.0
BRB,2008,0.0
BRB,2009,0.0
BRB,2010,0.0
BRB,2011,0.0
BRB,2012,0.0
BRB,2013,0.0
BRB,2014,0.0
BRB,2015,0.0
BRB,2016,0.0
BRB,2017,0.0
BRB,2018,0.0
BRB,2019,0.0
BRN,2000,80398166.483315
BRN,2001,85097689.7689769
BRN,2002,89506050.6050605
BRN,2003,99623469.013568
BRN,2004,111568096.809681
BRN,2005,113026549.321599
BRN,2006,101877814.448111
BRN,2007,97326292.6292629
BRN,2008,100967510.084342
BRN,2009,106732746.607994
BRN,2010,100476714.3381
BRN,2011,98276494.3160983
BRN,2012,105610561.056106
BRN,2013,104877154.382105
BRN,2014,109277594.426109
BRN,2015,116611661.166117
BRN,2016,112343527.686102
BRN,2017,110594866.153282
BRN,2018,108852145.214521
BRN,2019,107313898.056472
BTN,2000,185867463.079079
BTN,2001,196070510.193587
BTN,2002,201632043.438501
BTN,2003,205908308.817064
BTN,2004,210335578.584638
BTN,2005,212504303.234137
BTN,2006,218245786.58813
BTN,2007,219801599.96957
BTN,2008,221001464.109206
BTN,2009,227007546.437656
BTN,2010,228840120.89455
BTN,2011,234190015.915141
BTN,2012,239430516.270273
BTN,2013,244838330.837542
BTN,2014,250059453.741564
BTN,2015,261711995.230475
BTN,2016,272769473.103666
BTN,2017,280811468.653853
BTN,2018,292741249.029384
BTN,2019,296548078.991634
BWA,2000,209457385.813314
BWA,2001,232893605.143288
BWA,2002,185184887.116475
BWA,2003,222453350.74793
BWA,2004,223504431.529734
BWA,2005,217909946.933036
BWA,2006,246952256.785555
BWA,2007,277167132.295709
BWA,2008,282638010.722572
BWA,2009,300648775.873243
BWA,2010,318136805.22845
BWA,2011,318693685.698552
BWA,2012,291502857.570159
BWA,2013,295378747.273832
BWA,2014,294341760.858918
BWA,2015,295282248.793719
BWA,2016,297020343.273932
BWA,2017,302776433.759012
BWA,2018,310745543.816454
BWA,2019,310284957.855889
CAF,2000,777517997.54698
CAF,2001,777517997.54698
CAF,2002,777517997.54698
CAF,2003,777517997.54698
CAF,2004,777517997.54698
CAF,2005,777517997.54698
CAF,2006,777517997.54698
CAF,2007,777517997.54698
CAF,2008,777517997.54698
CAF,2009,777517997.54698
CAF,2010,800548834.131679
CAF,2011,829924571.598757
CAF,2012,846206740.881287
CAF,2013,469718780.41432
CAF,2014,462923968.378462
CAF,2015,465579597.802323
CAF,2016,489062652.777184
CAF,2017,504710331.971476
CAF,2018,521979998.554972
CAF,2019,584336784.143251
CAN,2000,20843174997.7572
CAN,2001,20843174997.7572
CAN,2002,20843174997.7572
CAN,2003,20843174997.7572
CAN,2004,20843174997.7572
CAN,2005,20843174997.7572
CAN,2006,20843174997.7572
CAN,2007,20843174997.7572
CAN,2008,22344978702.2939
CAN,2009,21209384941.911
CAN,2010,21485924716.2237
CAN,2011,22364144797.7731
CAN,2012,22655059317.2445
CAN,2013,26526618934.4117
CAN,2014,24758542634.8205
CAN,2015,25836638108.7657
CAN,2016,26899674358.935
CAN,2017,27234396898.3025
CAN,2018,27504776365.0603
CAN,2019,28085920925.386
CHE,2000,4443361752.62292
CHE,2001,4107106340.4045
CHE,2002,4113375729.68442
CHE,2003,3682038352.24954
CHE,2004,4163825075.18965
CHE,2005,4004317779.34034
CHE,2006,3934928239.14527
CHE,2007,4062094615.02382
CHE,2008,4132231993.01957
CHE,2009,4219785598.6359
CHE,2010,4081334699.27307
CHE,2011,4394943734.51073
CHE,2012,4235347792.06209
CHE,2013,3993208662.95684
CHE,2014,4287908624.11933
CHE,2015,4009830843.37921
CHE,2016,3863363085.07103
CHE,2017,3896458444.185
CHE,2018,4093307648.47552
CHE,2019,4164058008.27512
CHL,2000,4898220867.71585
CHL,2001,5109099655.33461
CHL,2002,5320270060.83827
CHL,2003,5426660975.6383
CHL,2004,6145583628.18385
CHL,2005,6927204656.46549
CHL,2006,7547505675.15036
CHL,2007,7718714596.22646
CHL,2008,8246029858.81205
CHL,2009,7827598277.10087
CHL,2010,7902076684.29465
CHL,2011,8771919856.78439
