ISO,Year,SPIR
CAF,2002,0.0
CAF,2003,0.0
CAF,2004,0.0
CAF,2005,0.0
CAF,2006,0.0
CAF,2007,0.0
CAF,2008,0.0
CAF,2009,0.0
CAF,2010,0.0
CAF,2011,0.0
CAF,2012,0.0
CAF,2013,0.0
CAF,2014,0.0
CAF,2015,0.0
CAF,2016,0.0
CAF,2017,0.0
CAF,2018,0.0
CAF,2019,0.0
CAN,2000,683.0
CAN,2001,683.0
CAN,2002,683.0
CAN,2003,683.0
CAN,2004,683.0
CAN,2005,683.0
CAN,2006,683.0
CAN,2007,683.0
CAN,2008,683.0
CAN,2009,683.0
CAN,2010,683.0
CAN,2011,683.0
CAN,2012,683.0
CAN,2013,683.0
CAN,2014,683.0
CAN,2015,683.0
CAN,2016,683.0
CAN,2017,683.0
CAN,2018,683.0
CAN,2019,683.0
CHE,2000,0.0
CHE,2001,0.0
CHE,2002,0.0
CHE,2003,0.0
CHE,2004,0.0
CHE,2005,0.0
CHE,2006,0.0
CHE,2007,0.0
CHE,2008,0.0
CHE,2009,0.0
CHE,2010,0.0
CHE,2011,0.0
CHE,2012,0.0
CHE,2013,0.0
CHE,2014,0.0
CHE,2015,0.0
CHE,2016,0.0
CHE,2017,0.0
CHE,2018,0.0
CHE,2019,0.0
CHL,2000,57.4
CHL,2001,57.4
CHL,2002,57.4
CHL,2003,57.4
CHL,2004,57.4
CHL,2005,57.4
CHL,2006,57.4
CHL,2007,57.4
CHL,2008,57.4
CHL,2009,57.4
CHL,2010,57.4
CHL,2011,57.4
CHL,2012,57.4
CHL,2013,57.4
CHL,2014,57.4
CHL,2015,57.4
CHL,2016,57.4
CHL,2017,57.4
CHL,2018,57.4
CHL,2019,57.4
CIV,2000,0.0
CIV,2001,0.0
CIV,2002,0.0
CIV,2003,0.0
CIV,2004,0.0
CIV,2005,0.0
CIV,2006,0.0
CIV,2007,0.0
CIV,2008,0.0
CIV,2009,0.0
CIV,2010,0.0
CIV,2011,0.0
CIV,2012,0.0
CIV,2013,0.0
CIV,2014,0.0
CIV,2015,0.0
CIV,2016,0.0
CIV,2017,0.0
CIV,2018,0.0
CIV,2019,0.0
CMR,2000,5.43
CMR,2001,5.43
CMR,2002,5.43
CMR,2003,5.43
CMR,2004,5.43
CMR,2005,5.43
CMR,2006,5.43
CMR,2007,5.43
CMR,2008,5.43
CMR,2009,5.43
CMR,2010,5.43
CMR,2011,5.43
CMR,2012,5.43
CMR,2013,5.43
CMR,2014,5.43
CMR,2015,5.43
CMR,2016,5.43
CMR,2017,5.43
CMR,2018,5.43
CMR,2019,5.43
COD,2000,0.0
COD,2001,0.0
COD,2002,0.0
COD,2003,0.0
COD,2004,0.0
COD,2005,0.0
COD,2006,0.0
COD,2007,0.0
COD,2008,0.0
COD,2009,0.0
COD,2010,0.0
COD,2011,0.0
COD,2012,0.0
COD,2013,0.0
COD,2014,0.0
COD,2015,0.0
COD,2016,0.0
COD,2017,0.0
COD,2018,0.0
COD,2019,0.0
COG,2000,0.0
COG,2001,0.0
COG,2002,0.0
COG,2003,0.0
COG,2004,0.0
COG,2005,0.0
COG,2006,0.0
COG,2007,0.0
COG,2008,0.0
COG,2009,0.0
COG,2010,0.0
COG,2011,0.0
COG,2012,0.0
COG,2013,0.0
COG,2014,0.0
COG,2015,0.0
COG,2016,0.0
COG,2017,0.0
COG,2018,0.0
COG,2019,0.0
COK,2000,0.0
COK,2001,0.0
COK,2002,0.0
COK,2003,0.0
COK,2004,0.0
COK,2005,0.0
COK,2006,0.0
COK,2007,0.0
COK,2008,0.0
COK,2009,0.0
COK,2010,0.0
COK,2011,0.0
COK,2012,0.0
COK,2013,0.0
COK,2014,0.0
COK,2015,0.0
COK,2016,0.0
COK,2017,0.0
COK,2018,0.0
COK,2019,0.0
COL,2000,0.0
COL,2001,0.0
COL,2002,0.0
COL,2003,0.0
COL,2004,0.0
COL,2005,0.0
COL,2006,0.0
COL,2007,0.0
COL,2008,0.0
COL,2009,0.0
COL,2010,0.0
COL,2011,0.0
COL,2012,0.0
COL,2013,0.0
COL,2014,0.0
COL,2015,0.0
COL,2016,0.0
COL,2017,0.0
COL,2018,0.0
COL,2019,0.0
COM,2000,0.0
COM,2001,0.0
COM,2002,0.0
COM,2003,0.0
COM,2004,0.0
COM,2005,0.0
COM,2006,0.0
COM,2007,0.0
COM,2008,0.0
COM,2009,0.0
COM,2010,0.0
COM,2011,0.0
COM,2012,0.0
COM,2013,0.0
COM,2014,0.0
COM,2015,0.0
COM,2016,0.0
COM,2017,0.0
COM,2018,0.0
COM,2019,0.0
CPV,2000,0.0
CPV,2001,0.0
CPV,2002,0.0
CPV,2003,0.0
CPV,2004,0.0
CPV,2005,0.0
CPV,2006,0.0
CPV,2007,0.0
CPV,2008,0.0
CPV,2009,0.0
CPV,2010,0.0
CPV,2011,0.0
CPV,2012,0.0
CPV,2013,0.0
CPV,2014,0.0
CPV,2015,0.0
CPV,2016,0.0
CPV,2017,0.0
CPV,2018,0.0
CPV,2019,0.0
CRI,2000,46.25
CRI,2001,46.25
CRI,2002,46.25
CRI,2003,46.25
CRI,2004,46.25
CRI,2005,46.25
CRI,2006,46.25
CRI,2007,46.25
CRI,2008,46.25
CRI,2009,46.25
CRI,2010,46.25
CRI,2011,46.25
CRI,2012,46.25
CRI,2013,46.25
CRI,2014,46.25
CRI,2015,46.25
CRI,2016,46.25
CRI,2017,46.25
CRI,2018,46.25
CRI,2019,46.25
CUB,2000,139.1
CUB,2001,139.1
CUB,2002,139.1
CUB,2003,139.1
CUB,2004,139.1
CUB,2005,139.1
CUB,2006,139.1
CUB,2007,139.1
CUB,2008,139.1
CUB,2009,139.1
CUB,2010,139.1
CUB,2011,139.1
CUB,2012,139.1
CUB,2013,139.1
CUB,2014,139.1
CUB,2015,139.1
CUB,2016,139.1
CUB,2017,139.1
CUB,2018,139.1
CUB,2019,139.1
CYM,2000,0.0
CYM,2001,0.0
CYM,2002,0.0
CYM,2003,0.0
CYM,2004,0.0
CYM,2005,0.0
CYM,2006,0.0
CYM,2007,0.0
CYM,2008,0.0
CYM,2009,0.0
CYM,2010,0.0
CYM,2011,0.0
CYM,2012,0.0
CYM,2013,0.0
CYM,2014,0.0
CYM,2015,0.0
CYM,2016,0.0
CYM,2017,0.0
CYM,2018,0.0
CYM,2019,0.0
CYP,2000,0.0
CYP,2001,0.0
CYP,2002,0.0
CYP,2003,0.0
CYP,2004,0.0
CYP,2005,0.0
CYP,2006,0.0
CYP,2007,0.0
CYP,2008,0.0
CYP,2009,0.0
CYP,2010,0.0
