ISO,Year,IRWR
BHS,2007,0.7
BHS,2008,0.7
BHS,2009,0.7
BHS,2010,0.7
BHS,2011,0.7
BHS,2012,0.7
BHS,2013,0.7
BHS,2014,0.7
BHS,2015,0.7
BHS,2016,0.7
BHS,2017,0.7
BHS,2018,0.7
BHS,2019,0.7
BIH,2000,35.5
BIH,2001,35.5
BIH,2002,35.5
BIH,2003,35.5
BIH,2004,35.5
BIH,2005,35.5
BIH,2006,35.5
BIH,2007,35.5
BIH,2008,35.5
BIH,2009,35.5
BIH,2010,35.5
BIH,2011,35.5
BIH,2012,35.5
BIH,2013,35.5
BIH,2014,35.5
BIH,2015,35.5
BIH,2016,35.5
BIH,2017,35.5
BIH,2018,35.5
BIH,2019,35.5
BLR,2000,34.0
BLR,2001,34.0
BLR,2002,34.0
BLR,2003,34.0
BLR,2004,34.0
BLR,2005,34.0
BLR,2006,34.0
BLR,2007,34.0
BLR,2008,34.0
BLR,2009,34.0
BLR,2010,34.0
BLR,2011,34.0
BLR,2012,34.0
BLR,2013,34.0
BLR,2014,34.0
BLR,2015,34.0
BLR,2016,34.0
BLR,2017,34.0
BLR,2018,34.0
BLR,2019,34.0
BLZ,2000,15.26
BLZ,2001,15.26
BLZ,2002,15.26
BLZ,2003,15.26
BLZ,2004,15.26
BLZ,2005,15.26
BLZ,2006,15.26
BLZ,2007,15.26
BLZ,2008,15.26
BLZ,2009,15.26
BLZ,2010,15.26
BLZ,2011,15.26
BLZ,2012,15.26
BLZ,2013,15.26
BLZ,2014,15.26
BLZ,2015,15.26
BLZ,2016,15.26
BLZ,2017,15.26
BLZ,2018,15.26
BLZ,2019,15.26
BMU,2000,0.0
BMU,2001,0.0
BMU,2002,0.0
BMU,2003,0.0
BMU,2004,0.0
BMU,2005,0.0
BMU,2006,0.0
BMU,2007,0.0
BMU,2008,0.0
BMU,2009,0.0
BMU,2010,0.0
BMU,2011,0.0
BMU,2012,0.0
BMU,2013,0.0
BMU,2014,0.0
BMU,2015,0.0
BMU,2016,0.0
BMU,2017,0.0
BMU,2018,0.0
BMU,2019,0.0
BOL,2000,303.5
BOL,2001,303.5
BOL,2002,303.5
BOL,2003,303.5
BOL,2004,303.5
BOL,2005,303.5
BOL,2006,303.5
BOL,2007,303.5
BOL,2008,303.5
BOL,2009,303.5
BOL,2010,303.5
BOL,2011,303.5
BOL,2012,303.5
BOL,2013,303.5
BOL,2014,303.5
BOL,2015,303.5
BOL,2016,303.5
BOL,2017,303.5
BOL,2018,303.5
BOL,2019,303.5
BRA,2000,5661.0
BRA,2001,5661.0
BRA,2002,5661.0
BRA,2003,5661.0
BRA,2004,5661.0
BRA,2005,5661.0
BRA,2006,5661.0
BRA,2007,5661.0
BRA,2008,5661.0
BRA,2009,5661.0
BRA,2010,5661.0
BRA,2011,5661.0
BRA,2012,5661.0
BRA,2013,5661.0
BRA,2014,5661.0
BRA,2015,5661.0
BRA,2016,5661.0
BRA,2017,5661.0
BRA,2018,5661.0
BRA,2019,5661.0
BRB,2000,0.08
BRB,2001,0.08
BRB,2002,0.08
BRB,2003,0.08
BRB,2004,0.08
BRB,2005,0.08
BRB,2006,0.08
BRB,2007,0.08
BRB,2008,0.08
BRB,2009,0.08
BRB,2010,0.08
BRB,2011,0.08
BRB,2012,0.08
BRB,2013,0.08
BRB,2014,0.08
BRB,2015,0.08
BRB,2016,0.08
BRB,2017,0.08
BRB,2018,0.08
BRB,2019,0.08
BRN,2000,8.5
BRN,2001,8.5
BRN,2002,8.5
BRN,2003,8.5
BRN,2004,8.5
BRN,2005,8.5
BRN,2006,8.5
BRN,2007,8.5
BRN,2008,8.5
BRN,2009,8.5
BRN,2010,8.5
BRN,2011,8.5
