ISO,Year,ERWR
BHR,2007,0.112
BHR,2008,0.112
BHR,2009,0.112
BHR,2010,0.112
BHR,2011,0.112
BHR,2012,0.112
BHR,2013,0.112
BHR,2014,0.112
BHR,2015,0.112
BHR,2016,0.112
BHR,2017,0.112
BHR,2018,0.112
BHR,2019,0.112
BHS,2000,0.0
BHS,2001,0.0
BHS,2002,0.0
BHS,2003,0.0
BHS,2004,0.0
BHS,2005,0.0
BHS,2006,0.0
BHS,2007,0.0
BHS,2008,0.0
BHS,2009,0.0
BHS,2010,0.0
BHS,2011,0.0
BHS,2012,0.0
BHS,2013,0.0
BHS,2014,0.0
BHS,2015,0.0
BHS,2016,0.0
BHS,2017,0.0
BHS,2018,0.0
BHS,2019,0.0
BIH,2000,2.0
BIH,2001,2.0
BIH,2002,2.0
BIH,2003,2.0
BIH,2004,2.0
BIH,2005,2.0
BIH,2006,2.0
BIH,2007,2.0
BIH,2008,2.0
BIH,2009,2.0
BIH,2010,2.0
BIH,2011,2.0
BIH,2012,2.0
BIH,2013,2.0
BIH,2014,2.0
BIH,2015,2.0
BIH,2016,2.0
BIH,2017,2.0
BIH,2018,2.0
BIH,2019,2.0
BLR,2000,23.9
BLR,2001,23.9
BLR,2002,23.9
BLR,2003,23.9
BLR,2004,23.9
BLR,2005,23.9
BLR,2006,23.9
BLR,2007,23.9
BLR,2008,23.9
BLR,2009,23.9
BLR,2010,23.9
BLR,2011,23.9
BLR,2012,23.9
BLR,2013,23.9
BLR,2014,23.9
BLR,2015,23.9
BLR,2016,23.9
BLR,2017,23.9
BLR,2018,23.9
BLR,2019,23.9
BLZ,2000,6.474
BLZ,2001,6.474
BLZ,2002,6.474
BLZ,2003,6.474
BLZ,2004,6.474
BLZ,2005,6.474
BLZ,2006,6.474
BLZ,2007,6.474
BLZ,2008,6.474
BLZ,2009,6.474
BLZ,2010,6.474
BLZ,2011,6.474
BLZ,2012,6.474
BLZ,2013,6.474
BLZ,2014,6.474
BLZ,2015,6.474
BLZ,2016,6.474
BLZ,2017,6.474
BLZ,2018,6.474
BLZ,2019,6.474
BMU,2000,0.0
BMU,2001,0.0
BMU,2002,0.0
BMU,2003,0.0
BMU,2004,0.0
BMU,2005,0.0
BMU,2006,0.0
BMU,2007,0.0
BMU,2008,0.0
BMU,2009,0.0
BMU,2010,0.0
BMU,2011,0.0
BMU,2012,0.0
BMU,2013,0.0
BMU,2014,0.0
BMU,2015,0.0
BMU,2016,0.0
BMU,2017,0.0
BMU,2018,0.0
BMU,2019,0.0
BOL,2000,270.5
BOL,2001,270.5
BOL,2002,270.5
BOL,2003,270.5
BOL,2004,270.5
BOL,2005,270.5
BOL,2006,270.5
BOL,2007,270.5
BOL,2008,270.5
BOL,2009,270.5
BOL,2010,270.5
BOL,2011,270.5
BOL,2012,270.5
BOL,2013,270.5
BOL,2014,270.5
BOL,2015,270.5
BOL,2016,270.5
BOL,2017,270.5
BOL,2018,270.5
BOL,2019,270.5
BRA,2000,2986.0
BRA,2001,2986.0
BRA,2002,2986.0
