ISO,Year,GDPC
BFA,2001,507.117970056445
BFA,2002,514.189865136073
BFA,2003,538.473818308892
BFA,2004,546.357720256963
BFA,2005,576.37174497503
BFA,2006,594.378678955336
BFA,2007,600.456114437077
BFA,2008,616.353254305698
BFA,2009,615.6909235282
BFA,2010,647.835846453449
BFA,2011,670.264548170737
BFA,2012,692.445037915868
BFA,2013,711.035989724097
BFA,2014,720.152193971001
BFA,2015,726.712509173464
BFA,2016,747.885688770555
BFA,2017,771.647944054805
BFA,2018,800.311721098057
BFA,2019,822.203917045326
BGD,2000,524.94593974353
BGD,2001,541.291733102006
BGD,2002,551.903121370277
BGD,2003,568.139301371235
BGD,2004,588.327337375938
BGD,2005,617.542748763888
BGD,2006,649.929971831323
BGD,2007,687.323177291706
BGD,2008,720.357100019766
BGD,2009,748.296160296938
BGD,2010,781.153593557047
BGD,2011,822.188302103644
BGD,2012,865.750045010274
BGD,2013,907.257539095072
BGD,2014,951.314947969132
BGD,2015,1002.38886567839
BGD,2016,1062.04005915791
BGD,2017,1127.2715619676
BGD,2018,1203.21642542608
BGD,2019,1287.8215971097
BGR,2000,3984.66596829829
BGR,2001,4219.94318931861
BGR,2002,4569.27428187651
BGR,2003,4842.88565433566
BGR,2004,5193.91346070867
BGR,2005,5607.52705521766
BGR,2006,6034.62012591414
BGR,2007,6477.77027728137
BGR,2008,6920.38895361115
BGR,2009,6730.05814265952
BGR,2010,6812.40633845402
BGR,2011,7017.66364599858
BGR,2012,7083.59878715875
BGR,2013,7146.5587960175
BGR,2014,7322.80862919503
BGR,2015,7663.72202887539
BGR,2016,8012.51120825339
BGR,2017,8353.9682378682
BGR,2018,8674.72320233978
BGR,2019,9058.73528029721
BHR,2000,22955.2372613294
BHR,2001,22416.2309058685
BHR,2002,21981.9195272313
BHR,2003,22058.8721481813
BHR,2004,22144.6068766373
BHR,2005,22066.209072122
BHR,2006,21795.641469988
BHR,2007,21837.5068879636
BHR,2008,21562.6624712122
BHR,2009,20796.2019205807
BHR,2010,20722.1372891347
BHR,2011,20516.5883157314
BHR,2012,20924.7104304295
BHR,2013,21805.1173792575
BHR,2014,22395.3060349444
BHR,2015,22353.3596020299
BHR,2016,22272.9668967477
BHR,2017,22167.0782833708
BHR,2018,21478.1144253022
BHR,2019,20912.9868841525
BHS,2000,31570.7464318867
BHS,2001,31910.567089742
BHS,2002,32236.5412381806
BHS,2003,31272.9893950603
BHS,2004,30978.7015480089
BHS,2005,31442.3708391668
BHS,2006,31632.5474942041
BHS,2007,31485.6460476736
BHS,2008,30191.0391819404
BHS,2009,28440.1818600369
BHS,2010,28443.4076553352
BHS,2011,28248.9864271453
BHS,2012,28800.0070001586
BHS,2013,27754.8693201859
BHS,2014,27785.281087525
BHS,2015,27583.4087373028
BHS,2016,27705.927063117
BHS,2017,28282.518097005
BHS,2018,28845.2557704818
BHS,2019,28908.5485742501
BIH,2000,3015.05970369908
BIH,2001,3144.08804446976
BIH,2002,3307.31219078418
BIH,2003,3437.0575402125
BIH,2004,3644.75898258655
BIH,2005,3962.81578826491
BIH,2006,4177.25960231122
BIH,2007,4425.11035482351
BIH,2008,4676.50077226167
BIH,2009,4558.25641989555
BIH,2010,4635.51777931783
BIH,2011,4736.61993365646
BIH,2012,4770.93162912533
BIH,2013,4969.0068594531
BIH,2014,5113.67368410914
BIH,2015,5352.72045522849
BIH,2016,5591.5857400054
BIH,2017,5828.71653691876
BIH,2018,6096.91949150311
BIH,2019,6303.68866498252
BLR,2000,2808.57494889476
BLR,2001,2956.41530461209
BLR,2002,3125.40643982263
BLR,2003,3369.02930622984
BLR,2004,3780.4759965654
BLR,2005,4164.18550822824
BLR,2006,4608.73674666689
BLR,2007,5028.10690244594
BLR,2008,5560.14622910331
BLR,2009,5583.70185481887
BLR,2010,6029.3967998293
BLR,2011,6365.3780531651
BLR,2012,6478.70481089972
BLR,2013,6542.67841209401
BLR,2014,6649.64932834342
BLR,2015,6384.81714492541
BLR,2016,6215.70186550089
BLR,2017,6375.28892983321
BLR,2018,6586.2977396088
BLR,2019,6678.5090648389
BLZ,2000,3863.54748308275
BLZ,2001,3921.77712035274
BLZ,2002,3992.76492394056
BLZ,2003,4251.27069671707
BLZ,2004,4340.74719676198
BLZ,2005,4311.70191964293
BLZ,2006,4402.68749108416
BLZ,2007,4311.26606541094
BLZ,2008,4348.22547442813
BLZ,2009,4249.30150475318
BLZ,2010,4270.86434454699
BLZ,2011,4250.4936169464
BLZ,2012,4253.09941001094
BLZ,2013,4212.33173688301
BLZ,2014,4270.94510387408
BLZ,2015,4300.55933820061
BLZ,2016,4216.97726841129
BLZ,2017,4211.59954966434
BLZ,2018,4217.20716116883
BLZ,2019,4149.86190551309
BMU,2000,95861.4216876756
BMU,2001,101681.522905881
BMU,2002,99529.1981221737
BMU,2003,102252.586512649
BMU,2004,103944.939002994
BMU,2005,105003.182600054
BMU,2006,110190.625502305
BMU,2007,113236.090907192
BMU,2008,110467.717313846
BMU,2009,103675.466763517
BMU,2010,101875.28407346
BMU,2011,98912.9027809322
BMU,2012,93327.0312694711
BMU,2013,92775.339821166
BMU,2014,89153.7559893109
BMU,2015,89708.8258715522
BMU,2016,90062.1613062341
BMU,2017,94309.5848817737
BMU,2018,93832.3666163461
BMU,2019,94266.8417594258
BOL,2000,1601.41660719292
BOL,2001,1597.64196040464
BOL,2002,1606.90462605275
BOL,2003,1620.26361239992
BOL,2004,1657.5050756395
BOL,2005,1700.18273688142
BOL,2006,1750.80299260714
BOL,2007,1799.4984888863
BOL,2008,1878.11025338357
BOL,2009,1909.08452741677
BOL,2010,1955.46154376367
BOL,2011,2024.11724030504
BOL,2012,2094.02415243866
BOL,2013,2201.39676993058
BOL,2014,2286.01317207209
BOL,2015,2361.05653658841
BOL,2016,2425.56157524695
BOL,2017,2490.95622581417
BOL,2018,2559.51119070116
BOL,2019,2579.89901190316
BRA,2000,8803.15252917931
BRA,2001,8804.32948764486
BRA,2002,8954.83724534174
BRA,2003,8943.82848255785
BRA,2004,9346.03934316368
BRA,2005,9535.41883036578
BRA,2006,9805.72450610977
BRA,2007,10293.530341463
BRA,2008,10710.8722205603
BRA,2009,10594.9865923924
BRA,2010,11286.2430162457
BRA,2011,11627.8106505917
BRA,2012,11745.7759262897
BRA,2013,11993.4839848731
BRA,2014,11951.2094463497
BRA,2015,11431.1544808449
BRA,2016,10965.9742614391
BRA,2017,11021.7182622703
BRA,2018,11079.709675038
BRA,2019,11121.7399151021
BRB,2000,15570.0421707825
BRB,2001,15146.7889908257
BRB,2002,15214.4098015909
BRB,2003,15494.1694097234
BRB,2004,15658.3746240246
BRB,2005,16216.5292067617
BRB,2006,17102.3183903531
BRB,2007,17402.2246142806
BRB,2008,17446.2217713416
BRB,2009,16492.1167966304
BRB,2010,16056.3709766031
BRB,2011,15900.0236759993
BRB,2012,15787.8040183292
BRB,2013,15533.1063398711
BRB,2014,15484.9468972176
BRB,2015,15836.3824984929
BRB,2016,16202.1161947683
BRB,2017,16254.2404265057
BRB,2018,16136.9099326335
BRB,2019,16099.8284121592
BRN,2000,35931.5965013377
BRN,2001,36171.8050676004
BRN,2002,36841.2942129897
BRN,2003,37212.4669053931
BRN,2004,36761.2498220737
BRN,2005,36329.4982777345
BRN,2006,37399.74000641
BRN,2007,36987.8415885984
BRN,2008,35844.4160068892
BRN,2009,34800.5635264382
BRN,2010,35269.5531076448
BRN,2011,36121.891977592
BRN,2012,35967.3283979567
BRN,2013,34729.8266256897
BRN,2014,33416.781835931
BRN,2015,32873.4669130359
BRN,2016,31685.2254544178
BRN,2017,31752.740813782
BRN,2018,31436.8681969939
BRN,2019,32327.4055290563
BTN,2000,1119.76412049589
BTN,2001,1187.88985850948
BTN,2002,1291.97337140733
BTN,2003,1366.81993529366
BTN,2004,1424.05305747583
BTN,2005,1504.45561555708
BTN,2006,1588.53136946711
BTN,2007,1859.08623424394
BTN,2008,1928.76867961222
BTN,2009,2038.56141967339
BTN,2010,2258.18314115595
BTN,2011,2411.02893205206
BTN,2012,2504.5058910519
BTN,2013,2526.43366495453
BTN,2014,2639.60088264112
BTN,2015,2780.81953888315
BTN,2016,2970.76650663428
BTN,2017,3072.02029929191
BTN,2018,3128.83549606004
BTN,2019,3262.198967599
BWA,2000,5211.07380505514
BWA,2001,5126.35428454524
BWA,2002,5341.92019491827
BWA,2003,5493.14422106986
BWA,2004,5542.30553280887
BWA,2005,5686.78064082125
BWA,2006,6038.79192620086
BWA,2007,6400.71769032462
BWA,2008,6657.83251009515
BWA,2009,6029.19874614065
BWA,2010,6434.81572355331
BWA,2011,6728.20488437247
BWA,2012,6944.80914927972
BWA,2013,7646.41410645297
BWA,2014,7864.25098025293
BWA,2015,7613.69852027346
BWA,2016,7797.14647670629
BWA,2017,7859.16899892583
BWA,2018,8032.68193680205
BWA,2019,8092.96708724053
CAF,2000,422.863906510783
CAF,2001,432.060136879743
CAF,2002,438.253133312802
CAF,2003,406.153825194334
CAF,2004,421.946969836605
CAF,2005,417.501900137222
CAF,2006,428.956919649899
CAF,2007,440.176442478945
CAF,2008,441.296784922234
CAF,2009,472.093180257763
CAF,2010,488.421401781569
CAF,2011,505.238458728031
CAF,2012,528.644927384143
CAF,2013,335.38915520098
CAF,2014,334.440498597729
CAF,2015,346.693797341047
CAF,2016,359.600040296453
CAF,2017,371.108792249647
CAF,2018,379.36500856344
CAF,2019,384.145561598858
CAN,2000,39338.8368994644
CAN,2001,39460.7360670365
CAN,2002,40369.7445613125
CAN,2003,41532.2195453856
CAN,2004,42757.0039817766
CAN,2005,44471.0800603251
CAN,2006,45857.9965520358
CAN,2007,48534.1744769374
CAN,2008,48495.2040398051
CAN,2009,46540.6437105103
CAN,2010,47448.0132198383
CAN,2011,48464.4962818598
CAN,2012,48785.9360816715
CAN,2013,49397.5233153392
CAN,2014,50306.9446243374
CAN,2015,50262.027665796
CAN,2016,50193.7504098852
CAN,2017,51170.4758411953
CAN,2018,51476.2007739946
CAN,2019,51588.7614342188
CHE,2000,67807.9269021313
CHE,2001,68264.5263258507
CHE,2002,67860.2449543047
CHE,2003,67385.2977898454
CHE,2004,68781.6126522317
CHE,2005,70471.4386640771
CHE,2006,72823.837324503
CHE,2007,75143.7022646911
CHE,2008,75793.6331647287
CHE,2009,73189.1926410883
CHE,2010,74605.7210819748
CHE,2011,75029.7578940068
CHE,2012,74984.1371548456
CHE,2013,75499.7068238998
CHE,2014,76410.8567096896
CHE,2015,76553.282261223
CHE,2016,77026.3356092324
CHE,2017,77684.0482075308
CHE,2018,79234.9630198638
CHE,2019,79406.6576671331
CHL,2000,9419.98294955914
CHL,2001,9622.15362871309
CHL,2002,9814.65613491896
CHL,2003,10109.6680484322
CHL,2004,10726.6448499322
CHL,2005,11225.0799494747
CHL,2006,11808.8347703093
CHL,2007,12256.4296859791
CHL,2008,12553.7948363739
CHL,2009,12227.2145300329
CHL,2010,12808.034586422
CHL,2011,13455.8378125533
CHL,2012,14035.679130826
CHL,2013,14461.1743775739
CHL,2014,14561.3261643078
CHL,2015,14722.366327631
CHL,2016,14777.1488448942
CHL,2017,14741.1924958248
CHL,2018,15111.6954231416
CHL,2019,15091.4505062473
CIV,2000,1356.58583478253
CIV,2001,1326.12756721457
CIV,2002,1275.36818694798
CIV,2003,1231.719195257
CIV,2004,1221.15721700069
CIV,2005,1216.18707565008
CIV,2006,1208.26438051626
CIV,2007,1202.88900133888
CIV,2008,1206.15073705977
CIV,2009,1217.20786972238
CIV,2010,1213.11264506443
CIV,2011,1132.5484005404
CIV,2012,1223.6319350233
CIV,2013,1299.81167267393
CIV,2014,1379.14068216006
CIV,2015,1463.71052702022
CIV,2016,1529.50745372791
CIV,2017,1600.76525651687
CIV,2018,1667.94270502825
CIV,2019,1727.28368913368
CMR,2000,1146.57231022119
CMR,2001,1165.48140823569
CMR,2002,1183.02663801242
CMR,2003,1204.42005375107
CMR,2004,1251.92898156968
CMR,2005,1243.08065504954
CMR,2006,1251.46386315501
CMR,2007,1277.30478386454
CMR,2008,1286.00107956163
CMR,2009,1278.59620799079
CMR,2010,1286.51557161767
CMR,2011,1303.42588027745
CMR,2012,1325.93022542942
CMR,2013,1360.10887014004
CMR,2014,1401.75317426464
CMR,2015,1441.78397139843
CMR,2016,1469.19263610857
CMR,2017,1481.7319899601
CMR,2018,1502.16909554019
CMR,2019,1518.31214949466
COD,2000,289.986319883827
COD,2001,276.142108830374
COD,2002,276.055945561272
COD,2003,282.647066792974
COD,2004,292.35083712867
COD,2005,300.562422453352
COD,2006,306.528260726948
COD,2007,315.263863499978
COD,2008,324.04031280739
COD,2009,322.418254424148
COD,2010,334.021572573152
COD,2011,345.266114850827
COD,2012,357.598295892516
COD,2013,375.219175503059
COD,2014,397.341670469814
COD,2015,411.020573086613
COD,2016,407.289643138542
COD,2017,408.924793382014
COD,2018,418.988811501869
COD,2019,423.640255620729
