ISO,Year,Item,IRRTECHi
SSD,2017,Surface,0.9769230769230769
STP,2017,Drip,0.0
STP,2017,Sprinkler,0.0
STP,2017,Surface,1.0
SUR,2017,Drip,0.0
SUR,2017,Sprinkler,0.021392454297938547
SUR,2017,Surface,0.9786075457020614
SWZ,2017,Drip,0.0612023831016429
SWZ,2017,Sprinkler,0.4194499608834326
SWZ,2017,Surface,0.5193476560149245
SYC,2017,Drip,0.7692307692307693
SYC,2017,Sprinkler,0.15384615384615385
SYC,2017,Surface,0.07692307692307693
SYR,2017,Drip,0.08269947800149142
SYR,2017,Sprinkler,0.1395227442207308
SYR,2017,Surface,0.7777777777777778
TCD,2017,Drip,0.0
TCD,2017,Sprinkler,0.17993386810437204
TCD,2017,Surface,0.8200661318956279
TGO,2017,Drip,0.003496503496503497
TGO,2017,Sprinkler,0.19230769230769232
TGO,2017,Surface,0.8041958041958042
THA,2017,Drip,0.0
THA,2017,Sprinkler,0.0
THA,2017,Surface,1.0
TJK,2017,Drip,0.0
TJK,2017,Sprinkler,0.0
TJK,2017,Surface,1.0
TKM,2017,Drip,0.0
TKM,2017,Sprinkler,0.0
TKM,2017,Surface,1.0
TTO,2017,Drip,0.0317887931
TTO,2017,Sprinkler,0.19046336207142858
TTO,2017,Surface,0.7777478448285714
TUN,2017,Drip,0.3372497824194952
TUN,2017,Sprinkler,0.2506527415143603
TUN,2017,Surface,0.41209747606614444
TUR,2017,Drip,0.028089887640449437
TUR,2017,Sprinkler,0.09363295880149813
TUR,2017,Surface,0.8782771535580525
UGA,2017,Drip,0.02638825149150987
UGA,2017,Sprinkler,0.24839375860486465
UGA,2017,Surface,0.7252179899036255
UKR,2017,Drip,0.0
UKR,2017,Sprinkler,0.7984644913627639
UKR,2017,Surface,0.20153550863723607
URY,2017,Drip,0.08403361344537816
URY,2017,Sprinkler,0.07563025210084033
URY,2017,Surface,0.8403361344537815
USA,2017,Drip,0.06926763516549349
USA,2017,Sprinkler,0.47850831211621986
USA,2017,Surface,0.45222405271828664
UZB,2017,Drip,0.0010536127704409053
UZB,2017,Sprinkler,0.0
UZB,2017,Surface,0.9989463872295591
VCT,2017,Drip,0.9079497907949791
VCT,2017,Sprinkler,0.09205020920502092
VCT,2017,Surface,0.0
VEN,2017,Drip,0.04197858428882782
VEN,2017,Sprinkler,0.2610632047758931
VEN,2017,Surface,0.6969582109352791
VNM,2017,Drip,0.0
VNM,2017,Sprinkler,0.00023990752655340123
VNM,2017,Surface,0.9997600924734465
YEM,2017,Drip,0.0010667794467253838
