ISO,Year,WP
BTN,2001,0.04
BTN,2002,0.04
BTN,2003,0.04
BTN,2004,0.04
BTN,2005,0.04
BTN,2006,0.04
BTN,2007,0.04
BTN,2008,0.04
BTN,2009,0.04
BTN,2010,0.04
BTN,2011,0.04
BTN,2012,0.04
BTN,2013,0.04
BTN,2014,0.04
BTN,2015,0.04
BTN,2016,0.04
BTN,2017,0.04
BTN,2018,0.04
BTN,2019,0.04
BWA,2000,0.87
BWA,2001,0.87
BWA,2002,0.87
BWA,2003,0.87
BWA,2004,0.87
BWA,2005,0.87
BWA,2006,0.87
BWA,2007,0.87
BWA,2008,0.87
BWA,2009,0.87
BWA,2010,0.87
BWA,2011,0.87
BWA,2012,0.87
BWA,2013,0.87
BWA,2014,0.87
BWA,2015,0.87
BWA,2016,0.87
BWA,2017,0.87
BWA,2018,0.87
BWA,2019,0.87
CAF,2000,0.0
CAF,2001,0.0
CAF,2002,0.0
CAF,2003,0.0
CAF,2004,0.0
CAF,2005,0.0
CAF,2006,0.0
CAF,2007,0.0
CAF,2008,0.0
CAF,2009,0.0
CAF,2010,0.0
CAF,2011,0.0
CAF,2012,0.0
CAF,2013,0.0
CAF,2014,0.0
CAF,2015,0.0
CAF,2016,0.0
CAF,2017,0.0
CAF,2018,0.0
CAF,2019,0.0
CAN,2000,1.95
CAN,2001,1.95
CAN,2002,1.95
CAN,2003,1.95
CAN,2004,1.95
CAN,2005,1.95
CAN,2006,1.95
CAN,2007,1.95
CAN,2008,1.95
CAN,2009,1.95
CAN,2010,1.95
CAN,2011,1.95
CAN,2012,1.95
CAN,2013,1.95
CAN,2014,1.95
CAN,2015,1.95
CAN,2016,1.95
CAN,2017,1.95
CAN,2018,1.95
CAN,2019,1.95
CHE,2000,2.65
CHE,2001,2.65
CHE,2002,2.65
CHE,2003,2.65
CHE,2004,2.65
CHE,2005,2.65
CHE,2006,2.65
CHE,2007,2.65
CHE,2008,2.65
CHE,2009,2.65
CHE,2010,2.65
CHE,2011,2.65
CHE,2012,2.65
CHE,2013,2.65
CHE,2014,2.65
CHE,2015,2.65
CHE,2016,2.65
CHE,2017,2.65
CHE,2018,2.65
CHE,2019,2.65
CHL,2000,1.27
CHL,2001,1.27
