ISO,Year,GW
BHS,2018,0.0
BHS,2019,0.0
BIH,2000,11.57
BIH,2001,11.57
BIH,2002,11.57
BIH,2003,11.57
BIH,2004,11.57
BIH,2005,11.57
BIH,2006,11.57
BIH,2007,11.57
BIH,2008,11.57
BIH,2009,11.57
BIH,2010,11.57
BIH,2011,11.57
BIH,2012,11.57
BIH,2013,11.57
BIH,2014,11.57
BIH,2015,11.57
BIH,2016,11.57
BIH,2017,11.57
BIH,2018,11.57
BIH,2019,11.57
BLR,2000,15.9
BLR,2001,15.9
BLR,2002,15.9
BLR,2003,15.9
BLR,2004,15.9
BLR,2005,15.9
BLR,2006,15.9
BLR,2007,15.9
BLR,2008,15.9
BLR,2009,15.9
BLR,2010,15.9
BLR,2011,15.9
BLR,2012,15.9
BLR,2013,15.9
BLR,2014,15.9
BLR,2015,15.9
BLR,2016,15.9
BLR,2017,15.9
BLR,2018,15.9
BLR,2019,15.9
BLZ,2000,7.51
BLZ,2001,7.51
BLZ,2002,7.51
BLZ,2003,7.51
BLZ,2004,7.51
BLZ,2005,7.51
BLZ,2006,7.51
BLZ,2007,7.51
BLZ,2008,7.51
BLZ,2009,7.51
BLZ,2010,7.51
BLZ,2011,7.51
BLZ,2012,7.51
BLZ,2013,7.51
BLZ,2014,7.51
BLZ,2015,7.51
BLZ,2016,7.51
BLZ,2017,7.51
BLZ,2018,7.51
BLZ,2019,7.51
BMU,2000,0.0
BMU,2001,0.0
BMU,2002,0.0
BMU,2003,0.0
BMU,2004,0.0
BMU,2005,0.0
BMU,2006,0.0
BMU,2007,0.0
BMU,2008,0.0
BMU,2009,0.0
BMU,2010,0.0
BMU,2011,0.0
BMU,2012,0.0
BMU,2013,0.0
BMU,2014,0.0
BMU,2015,0.0
BMU,2016,0.0
BMU,2017,0.0
BMU,2018,0.0
BMU,2019,0.0
BOL,2000,130.0
BOL,2001,130.0
BOL,2002,130.0
BOL,2003,130.0
BOL,2004,130.0
BOL,2005,130.0
BOL,2006,130.0
BOL,2007,130.0
BOL,2008,130.0
BOL,2009,130.0
BOL,2010,130.0
BOL,2011,130.0
BOL,2012,130.0
BOL,2013,130.0
BOL,2014,130.0
BOL,2015,130.0
BOL,2016,130.0
BOL,2017,130.0
BOL,2018,130.0
BOL,2019,130.0
BRA,2000,645.6
BRA,2001,645.6
BRA,2002,645.6
BRA,2003,645.6
BRA,2004,645.6
BRA,2005,645.6
BRA,2006,645.6
BRA,2007,645.6
BRA,2008,645.6
BRA,2009,645.6
BRA,2010,645.6
BRA,2011,645.6
BRA,2012,645.6
BRA,2013,645.6
BRA,2014,645.6
BRA,2015,645.6
BRA,2016,645.6
BRA,2017,645.6
BRA,2018,645.6
BRA,2019,645.6
BRB,2000,0.074
BRB,2001,0.074
BRB,2002,0.074
BRB,2003,0.074
BRB,2004,0.074
BRB,2005,0.074
BRB,2006,0.074
BRB,2007,0.074
BRB,2008,0.074
BRB,2009,0.074
BRB,2010,0.074
BRB,2011,0.074
BRB,2012,0.074
BRB,2013,0.074
BRB,2014,0.074
BRB,2015,0.074
BRB,2016,0.074
BRB,2017,0.074
BRB,2018,0.074
BRB,2019,0.074
BRN,2000,0.1
BRN,2001,0.1
BRN,2002,0.1
BRN,2003,0.1
BRN,2004,0.1
BRN,2005,0.1
BRN,2006,0.1
BRN,2007,0.1
BRN,2008,0.1
BRN,2009,0.1
BRN,2010,0.1
BRN,2011,0.1
BRN,2012,0.1
BRN,2013,0.1
BRN,2014,0.1
BRN,2015,0.1
BRN,2016,0.1
BRN,2017,0.1
BRN,2018,0.1
BRN,2019,0.1
BTN,2000,8.1
BTN,2001,8.1
BTN,2002,8.1
BTN,2003,8.1
BTN,2004,8.1
BTN,2005,8.1
BTN,2006,8.1
BTN,2007,8.1
BTN,2008,8.1
BTN,2009,8.1
BTN,2010,8.1
BTN,2011,8.1
BTN,2012,8.1
BTN,2013,8.1
BTN,2014,8.1
BTN,2015,8.1
BTN,2016,8.1
BTN,2017,8.1
BTN,2018,8.1
BTN,2019,8.1
BWA,2000,1.7
BWA,2001,1.7
BWA,2002,1.7
BWA,2003,1.7
BWA,2004,1.7
BWA,2005,1.7
BWA,2006,1.7
BWA,2007,1.7
BWA,2008,1.7
BWA,2009,1.7
BWA,2010,1.7
BWA,2011,1.7
BWA,2012,1.7
BWA,2013,1.7
BWA,2014,1.7
BWA,2015,1.7
BWA,2016,1.7
BWA,2017,1.7
BWA,2018,1.7
BWA,2019,1.7
CAF,2000,56.0
CAF,2001,56.0
CAF,2002,56.0
CAF,2003,56.0
CAF,2004,56.0
CAF,2005,56.0
CAF,2006,56.0
CAF,2007,56.0
CAF,2008,56.0
CAF,2009,56.0
CAF,2010,56.0
CAF,2011,56.0
CAF,2012,56.0
CAF,2013,56.0
CAF,2014,56.0
CAF,2015,56.0
CAF,2016,56.0
CAF,2017,56.0
CAF,2018,56.0
CAF,2019,56.0
CAN,2000,370.0
CAN,2001,370.0
CAN,2002,370.0
CAN,2003,370.0
CAN,2004,370.0
CAN,2005,370.0
CAN,2006,370.0
CAN,2007,370.0
CAN,2008,370.0
CAN,2009,370.0
CAN,2010,370.0
CAN,2011,370.0
CAN,2012,370.0
CAN,2013,370.0
CAN,2014,370.0
CAN,2015,370.0
CAN,2016,370.0
CAN,2017,370.0
CAN,2018,370.0
CAN,2019,370.0
CHE,2000,2.5
CHE,2001,2.5
CHE,2002,2.5
CHE,2003,2.5
CHE,2004,2.5
CHE,2005,2.5
CHE,2006,2.5
CHE,2007,2.5
CHE,2008,2.5
CHE,2009,2.5
CHE,2010,2.5
CHE,2011,2.5
CHE,2012,2.5
CHE,2013,2.5
CHE,2014,2.5
CHE,2015,2.5
CHE,2016,2.5
CHE,2017,2.5
CHE,2018,2.5
CHE,2019,2.5
CHL,2000,140.0
CHL,2001,140.0
CHL,2002,140.0
CHL,2003,140.0
CHL,2004,140.0
CHL,2005,140.0
CHL,2006,140.0
CHL,2007,140.0
CHL,2008,140.0
CHL,2009,140.0
CHL,2010,140.0
CHL,2011,140.0
CHL,2012,140.0
CHL,2013,140.0
CHL,2014,140.0
CHL,2015,140.0
CHL,2016,140.0
CHL,2017,140.0
CHL,2018,140.0
CHL,2019,140.0
CIV,2000,37.84
CIV,2001,37.84
CIV,2002,37.84
CIV,2003,37.84
CIV,2004,37.84
CIV,2005,37.84
CIV,2006,37.84
CIV,2007,37.84
CIV,2008,37.84
CIV,2009,37.84
CIV,2010,37.84
CIV,2011,37.84
CIV,2012,37.84
CIV,2013,37.84
CIV,2014,37.84
CIV,2015,37.84
CIV,2016,37.84
CIV,2017,37.84
CIV,2018,37.84
CIV,2019,37.84
CMR,2000,100.0
CMR,2001,100.0
CMR,2002,100.0
CMR,2003,100.0
CMR,2004,100.0
CMR,2005,100.0
CMR,2006,100.0
CMR,2007,100.0
CMR,2008,100.0
CMR,2009,100.0
CMR,2010,100.0
CMR,2011,100.0
CMR,2012,100.0
CMR,2013,100.0
CMR,2014,100.0
CMR,2015,100.0
CMR,2016,100.0
CMR,2017,100.0
CMR,2018,100.0
CMR,2019,100.0
COD,2000,421.0
COD,2001,421.0
COD,2002,421.0
COD,2003,421.0
COD,2004,421.0
COD,2005,421.0
COD,2006,421.0
COD,2007,421.0
COD,2008,421.0
COD,2009,421.0
COD,2010,421.0
COD,2011,421.0
COD,2012,421.0
COD,2013,421.0
COD,2014,421.0
COD,2015,421.0
COD,2016,421.0
COD,2017,421.0
COD,2018,421.0
COD,2019,421.0
COG,2000,122.0
COG,2001,122.0
COG,2002,122.0
COG,2003,122.0
COG,2004,122.0
COG,2005,122.0
COG,2006,122.0
COG,2007,122.0
COG,2008,122.0
COG,2009,122.0
COG,2010,122.0
COG,2011,122.0
COG,2012,122.0
COG,2013,122.0
COG,2014,122.0
COG,2015,122.0
COG,2016,122.0
COG,2017,122.0
COG,2018,122.0
COG,2019,122.0
COK,2000,0.0
COK,2001,0.0
COK,2002,0.0
COK,2003,0.0
COK,2004,0.0
COK,2005,0.0
COK,2006,0.0
COK,2007,0.0
COK,2008,0.0
COK,2009,0.0
COK,2010,0.0
COK,2011,0.0
COK,2012,0.0
COK,2013,0.0
COK,2014,0.0
COK,2015,0.0
COK,2016,0.0
COK,2017,0.0
COK,2018,0.0
COK,2019,0.0
COL,2000,510.0
COL,2001,510.0
COL,2002,510.0
COL,2003,510.0
COL,2004,510.0
COL,2005,510.0
COL,2006,510.0
COL,2007,510.0
COL,2008,510.0
COL,2009,510.0
COL,2010,510.0
COL,2011,510.0
COL,2012,510.0
COL,2013,510.0
COL,2014,510.0
COL,2015,510.0
COL,2016,510.0
COL,2017,510.0
COL,2018,510.0
COL,2019,510.0
COM,2000,1.0
COM,2001,1.0
COM,2002,1.0
COM,2003,1.0
COM,2004,1.0
COM,2005,1.0
COM,2006,1.0
COM,2007,1.0
COM,2008,1.0
COM,2009,1.0
COM,2010,1.0
COM,2011,1.0
COM,2012,1.0
COM,2013,1.0
COM,2014,1.0
COM,2015,1.0
COM,2016,1.0
COM,2017,1.0
COM,2018,1.0
COM,2019,1.0
CPV,2000,0.124
CPV,2001,0.124
CPV,2002,0.124
CPV,2003,0.124
CPV,2004,0.124
CPV,2005,0.124
CPV,2006,0.124
CPV,2007,0.124
CPV,2008,0.124
CPV,2009,0.124
CPV,2010,0.124
CPV,2011,0.124
CPV,2012,0.124
CPV,2013,0.124
CPV,2014,0.124
CPV,2015,0.124
CPV,2016,0.124
CPV,2017,0.124
CPV,2018,0.124
CPV,2019,0.124
CRI,2000,37.31
CRI,2001,37.31
CRI,2002,37.31
CRI,2003,37.31
CRI,2004,37.31
CRI,2005,37.31
CRI,2006,37.31
CRI,2007,37.31
CRI,2008,37.31
CRI,2009,37.31
CRI,2010,37.31
CRI,2011,37.31
CRI,2012,37.31
CRI,2013,37.31
CRI,2014,37.31
CRI,2015,37.31
CRI,2016,37.31
CRI,2017,37.31
CRI,2018,37.31
CRI,2019,37.31
CUB,2000,6.48
CUB,2001,6.48
CUB,2002,6.48
CUB,2003,6.48
CUB,2004,6.48
CUB,2005,6.48
CUB,2006,6.48
CUB,2007,6.48
CUB,2008,6.48
CUB,2009,6.48
CUB,2010,6.48
CUB,2011,6.48
CUB,2012,6.48
CUB,2013,6.48
CUB,2014,6.48
CUB,2015,6.48
CUB,2016,6.48
CUB,2017,6.48
CUB,2018,6.48
CUB,2019,6.48
CYM,2000,0.0
CYM,2001,0.0
CYM,2002,0.0
CYM,2003,0.0
CYM,2004,0.0
CYM,2005,0.0
CYM,2006,0.0
CYM,2007,0.0
CYM,2008,0.0
CYM,2009,0.0
CYM,2010,0.0
CYM,2011,0.0
CYM,2012,0.0
CYM,2013,0.0
CYM,2014,0.0
CYM,2015,0.0
CYM,2016,0.0
CYM,2017,0.0
CYM,2018,0.0
CYM,2019,0.0
CYP,2000,0.41
CYP,2001,0.41
CYP,2002,0.41
CYP,2003,0.41
CYP,2004,0.41
CYP,2005,0.41
CYP,2006,0.41
CYP,2007,0.41
CYP,2008,0.41
CYP,2009,0.41
CYP,2010,0.41
CYP,2011,0.41
CYP,2012,0.41
CYP,2013,0.41
CYP,2014,0.41
CYP,2015,0.41
CYP,2016,0.41
CYP,2017,0.41
CYP,2018,0.41
CYP,2019,0.41
CZE,2000,1.43
CZE,2001,1.43
CZE,2002,1.43
CZE,2003,1.43
CZE,2004,1.43
CZE,2005,1.43
CZE,2006,1.43
CZE,2007,1.43
CZE,2008,1.43
CZE,2009,1.43
CZE,2010,1.43
CZE,2011,1.43
CZE,2012,1.43
CZE,2013,1.43
CZE,2014,1.43
CZE,2015,1.43
CZE,2016,1.43
CZE,2017,1.43
CZE,2018,1.43
CZE,2019,1.43
DEU,2000,45.7
DEU,2001,45.7
DEU,2002,45.7
DEU,2003,45.7
DEU,2004,45.7
DEU,2005,45.7
DEU,2006,45.7
DEU,2007,45.7
DEU,2008,45.7
DEU,2009,45.7
DEU,2010,45.7
DEU,2011,45.7
DEU,2012,45.7
DEU,2013,45.7
DEU,2014,45.7
DEU,2015,45.7
DEU,2016,45.7
DEU,2017,45.7
DEU,2018,45.7
DEU,2019,45.7
DJI,2000,0.015
DJI,2001,0.015
DJI,2002,0.015
DJI,2003,0.015
DJI,2004,0.015
DJI,2005,0.015
DJI,2006,0.015
DJI,2007,0.015
DJI,2008,0.015
DJI,2009,0.015
DJI,2010,0.015
DJI,2011,0.015
DJI,2012,0.015
DJI,2013,0.015
DJI,2014,0.015
DJI,2015,0.015
DJI,2016,0.015
DJI,2017,0.015
DJI,2018,0.015
DJI,2019,0.015
DMA,2000,0.0
DMA,2001,0.0
DMA,2002,0.0
DMA,2003,0.0
DMA,2004,0.0
DMA,2005,0.0
DMA,2006,0.0
DMA,2007,0.0
DMA,2008,0.0
DMA,2009,0.0
DMA,2010,0.0
DMA,2011,0.0
DMA,2012,0.0
DMA,2013,0.0
DMA,2014,0.0
DMA,2015,0.0
DMA,2016,0.0
DMA,2017,0.0
DMA,2018,0.0
DMA,2019,0.0
DNK,2000,4.3
DNK,2001,4.3
DNK,2002,4.3
DNK,2003,4.3
DNK,2004,4.3
DNK,2005,4.3
DNK,2006,4.3
DNK,2007,4.3
DNK,2008,4.3
DNK,2009,4.3
DNK,2010,4.3
DNK,2011,4.3
DNK,2012,4.3
DNK,2013,4.3
DNK,2014,4.3
DNK,2015,4.3
DNK,2016,4.3
DNK,2017,4.3
DNK,2018,4.3
DNK,2019,4.3
DOM,2000,4.161
DOM,2001,4.161
DOM,2002,4.161
DOM,2003,4.161
DOM,2004,4.161
DOM,2005,4.161
DOM,2006,4.161
DOM,2007,4.161
DOM,2008,4.161
DOM,2009,4.161
DOM,2010,4.161
DOM,2011,4.161
DOM,2012,4.161
DOM,2013,4.161
DOM,2014,4.161
DOM,2015,4.161
DOM,2016,4.161
DOM,2017,4.161
DOM,2018,4.161
DOM,2019,4.161
DZA,2000,1.487
DZA,2001,1.487
DZA,2002,1.487
DZA,2003,1.487
DZA,2004,1.487
DZA,2005,1.487
DZA,2006,1.487
DZA,2007,1.487
DZA,2008,1.487
DZA,2009,1.487
DZA,2010,1.487
DZA,2011,1.487
DZA,2012,1.487
DZA,2013,1.487
DZA,2014,1.487
DZA,2015,1.487
DZA,2016,1.487
DZA,2017,1.487
DZA,2018,1.487
DZA,2019,1.487
ECU,2000,134.0
ECU,2001,134.0
ECU,2002,134.0
ECU,2003,134.0
ECU,2004,134.0
ECU,2005,134.0
ECU,2006,134.0
ECU,2007,134.0
ECU,2008,134.0
ECU,2009,134.0
ECU,2010,134.0
ECU,2011,134.0
ECU,2012,134.0
ECU,2013,134.0
ECU,2014,134.0
ECU,2015,134.0
ECU,2016,134.0
ECU,2017,134.0
ECU,2018,134.0
ECU,2019,134.0
EGY,2000,0.5
EGY,2001,0.5
EGY,2002,0.5
EGY,2003,0.5
EGY,2004,0.5
EGY,2005,0.5
EGY,2006,0.5
EGY,2007,0.5
EGY,2008,0.5
EGY,2009,0.5
EGY,2010,0.5
EGY,2011,0.5
EGY,2012,0.5
EGY,2013,0.5
EGY,2014,0.5
EGY,2015,0.5
EGY,2016,0.5
EGY,2017,0.5
EGY,2018,0.5
EGY,2019,0.5
ERI,2000,0.5
ERI,2001,0.5
ERI,2002,0.5
ERI,2003,0.5
ERI,2004,0.5
ERI,2005,0.5
ERI,2006,0.5
ERI,2007,0.5
ERI,2008,0.5
ERI,2009,0.5
ERI,2010,0.5
ERI,2011,0.5
ERI,2012,0.5
ERI,2013,0.5
ERI,2014,0.5
ERI,2015,0.5
ERI,2016,0.5
ERI,2017,0.5
ERI,2018,0.5
ERI,2019,0.5
ESP,2000,29.9
ESP,2001,29.9
ESP,2002,29.9
ESP,2003,29.9
ESP,2004,29.9
ESP,2005,29.9
ESP,2006,29.9
ESP,2007,29.9
ESP,2008,29.9
ESP,2009,29.9
ESP,2010,29.9
ESP,2011,29.9
ESP,2012,29.9
ESP,2013,29.9
ESP,2014,29.9
ESP,2015,29.9
ESP,2016,29.9
ESP,2017,29.9
ESP,2018,29.9
ESP,2019,29.9
EST,2000,4.0
EST,2001,4.0
EST,2002,4.0
EST,2003,4.0
EST,2004,4.0
EST,2005,4.0
EST,2006,4.0
EST,2007,4.0
EST,2008,4.0
EST,2009,4.0
EST,2010,4.0
EST,2011,4.0
EST,2012,4.0
EST,2013,4.0
EST,2014,4.0
EST,2015,4.0
EST,2016,4.0
EST,2017,4.0
EST,2018,4.0
EST,2019,4.0
ETH,2000,20.0
ETH,2001,20.0
ETH,2002,20.0
ETH,2003,20.0
ETH,2004,20.0
ETH,2005,20.0
ETH,2006,20.0
ETH,2007,20.0
ETH,2008,20.0
ETH,2009,20.0
ETH,2010,20.0
ETH,2011,20.0
ETH,2012,20.0
ETH,2013,20.0
ETH,2014,20.0
ETH,2015,20.0
ETH,2016,20.0
ETH,2017,20.0
ETH,2018,20.0
ETH,2019,20.0
FIN,2000,2.2
FIN,2001,2.2
FIN,2002,2.2
FIN,2003,2.2
FIN,2004,2.2
FIN,2005,2.2
FIN,2006,2.2
FIN,2007,2.2
FIN,2008,2.2
FIN,2009,2.2
FIN,2010,2.2
FIN,2011,2.2
FIN,2012,2.2
FIN,2013,2.2
FIN,2014,2.2
FIN,2015,2.2
FIN,2016,2.2
FIN,2017,2.2
FIN,2018,2.2
FIN,2019,2.2
FJI,2000,5.273
FJI,2001,5.273
FJI,2002,5.273
FJI,2003,5.273
FJI,2004,5.273
FJI,2005,5.273
FJI,2006,5.273
FJI,2007,5.273
FJI,2008,5.273
FJI,2009,5.273
FJI,2010,5.273
FJI,2011,5.273
FJI,2012,5.273
FJI,2013,5.273
FJI,2014,5.273
FJI,2015,5.273
FJI,2016,5.273
FJI,2017,5.273
FJI,2018,5.273
FJI,2019,5.273
FRA,2000,120.0
FRA,2001,120.0
FRA,2002,120.0
FRA,2003,120.0
FRA,2004,120.0
FRA,2005,120.0
FRA,2006,120.0
FRA,2007,120.0
FRA,2008,120.0
FRA,2009,120.0
FRA,2010,120.0
FRA,2011,120.0
FRA,2012,120.0
FRA,2013,120.0
FRA,2014,120.0
FRA,2015,120.0
FRA,2016,120.0
FRA,2017,120.0
FRA,2018,120.0
FRA,2019,120.0
FRO,2000,0.0
FRO,2001,0.0
FRO,2002,0.0
FRO,2003,0.0
FRO,2004,0.0
FRO,2005,0.0
FRO,2006,0.0
FRO,2007,0.0
FRO,2008,0.0
FRO,2009,0.0
FRO,2010,0.0
FRO,2011,0.0
FRO,2012,0.0
FRO,2013,0.0
FRO,2014,0.0
FRO,2015,0.0
FRO,2016,0.0
FRO,2017,0.0
FRO,2018,0.0
FRO,2019,0.0
